,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.617,0.387,0.622,0.275,0.521,0.038,0.21,0.003,0.757,0.0,0.34299999475479126,0.0,0.2904833257198334
1,1.0,0.903,0.911,0.132,0.688,0.449,0.27,0.485,0.0,0.857,0.002,0.4696999788284302,0.0,0.458950012922287
2,2.0,0.094,0.541,0.725,0.062,0.448,0.001,0.762,0.021,0.01,0.03,0.2694000005722046,0.0,0.2759000062942505
3,3.0,0.047,0.575,0.632,0.0,0.085,0.0,0.763,0.0,0.818,0.0,0.2919999957084656,0.0,0.3196333348751068
4,4.0,0.838,0.974,0.785,0.645,0.814,0.956,0.536,0.935,0.969,0.923,0.8374999761581421,0.0,0.8071500062942505
5,5.0,0.74,0.988,0.932,0.791,0.383,0.077,0.49,0.916,0.882,0.508,0.670699954032898,0.0,0.6285833120346069
6,6.0,0.001,0.145,0.095,0.012,0.028,0.0,0.99,0.0,0.406,0.0,0.16769999265670776,0.0,0.23434999585151672
7,7.0,0.905,0.958,0.735,0.846,0.487,0.986,0.332,0.618,0.868,0.876,0.7610999941825867,0.0,0.736383318901062
8,8.0,0.001,0.846,0.776,0.0,0.0,0.0,0.82,0.0,0.869,0.427,0.37389999628067017,0.0,0.36116665601730347
9,9.0,0.0,0.914,0.908,0.0,0.176,0.0,0.605,0.0,0.237,0.0,0.2839999794960022,0.0,0.29163333773612976
10,10.0,0.017,0.026,0.754,0.045,0.094,0.0,0.895,0.0,0.552,0.0,0.23829999566078186,0.0,0.23409999907016754
11,11.0,0.158,0.303,0.884,0.15,0.52,0.0,0.577,0.0,0.764,0.063,0.3418999910354614,0.0,0.375650018453598
12,12.0,0.407,0.922,0.878,0.984,0.736,0.961,0.45,0.991,0.978,0.844,0.8150999546051025,0.0,0.8241000175476074
13,13.0,0.928,0.98,0.917,0.938,0.71,0.971,0.606,0.973,0.99,0.954,0.8966999650001526,0.0,0.8831666707992554
14,14.0,0.866,0.982,0.677,0.891,0.926,0.982,0.717,0.877,0.972,0.986,0.8876000046730042,0.0,0.8875166773796082
15,15.0,0.939,0.987,0.891,0.866,0.897,0.588,0.536,0.986,0.959,0.933,0.858199954032898,0.0,0.8630666732788086
16,16.0,0.872,0.977,0.856,0.919,0.86,0.988,0.63,0.969,0.98,0.927,0.8977999687194824,0.0,0.8997166752815247
17,17.0,0.778,0.955,0.717,0.735,0.818,0.076,0.682,0.391,0.593,0.802,0.654699981212616,0.0,0.6826333403587341
18,18.0,0.906,0.967,0.863,0.888,0.876,0.228,0.644,0.995,0.858,0.708,0.7932999730110168,0.0,0.8040000200271606
19,19.0,0.812,0.973,0.936,0.938,0.481,0.685,0.623,0.998,0.951,0.843,0.8240000009536743,0.0,0.8138166666030884
