,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
0,0.0,0.378,0.058,0.0,0.018,0.588,0.606,0.284,0.217,0.505,0.531,0.31849998235702515,0.0,0.3125
1,1.0,0.723,0.469,0.419,0.595,0.326,0.129,0.396,0.369,0.133,0.446,0.40049999952316284,0.0,0.3981799781322479
2,2.0,0.588,0.571,0.325,0.178,0.697,0.166,0.52,0.321,0.788,0.476,0.46299999952316284,0.0,0.47317999601364136
3,3.0,0.671,0.941,0.452,0.496,0.578,0.323,0.793,0.369,0.664,0.577,0.5863999724388123,0.0,0.5912399888038635
4,4.0,0.687,0.814,0.592,0.751,0.281,0.183,0.779,0.567,0.828,0.518,0.5999999642372131,0.0,0.6083799600601196
5,5.0,0.7,0.836,0.581,0.544,0.455,0.62,0.409,0.882,0.718,0.549,0.6293999552726746,0.0,0.6450999975204468
6,6.0,0.85,0.854,0.471,0.553,0.703,0.715,0.808,0.752,0.474,0.924,0.7103999853134155,0.0,0.7231799960136414
7,7.0,0.544,0.727,0.639,0.563,0.767,0.607,0.685,0.73,0.974,0.636,0.6872000098228455,0.0,0.7035599946975708
8,8.0,0.821,0.903,0.745,0.329,0.59,0.81,0.704,0.366,0.805,0.667,0.6739999651908875,0.0,0.6922000050544739
9,9.0,0.77,0.858,0.571,0.732,0.692,0.429,0.81,0.631,0.861,0.496,0.6850000023841858,0.0,0.7017399668693542
10,10.0,0.76,0.829,0.695,0.668,0.125,0.431,0.717,0.729,0.946,0.738,0.6638000011444092,0.0,0.6784399747848511
11,11.0,0.789,0.849,0.711,0.654,0.868,0.496,0.937,0.84,0.949,0.918,0.801099956035614,0.0,0.8277599811553955
12,12.0,0.751,0.797,0.8,0.633,0.93,0.623,0.623,0.863,0.744,0.873,0.763700008392334,0.0,0.7919999957084656
13,13.0,0.872,0.968,0.597,0.73,0.771,0.424,0.908,0.92,0.81,0.705,0.7705000042915344,0.0,0.7941399812698364
14,14.0,0.751,0.963,0.865,0.606,0.652,0.202,0.93,0.379,0.841,0.585,0.6773999929428101,0.0,0.6988399624824524
15,15.0,0.743,0.962,0.863,0.416,0.748,0.789,0.707,0.629,0.929,0.882,0.7667999863624573,0.0,0.7931599617004395
16,16.0,0.939,0.861,0.703,0.502,0.892,0.877,0.863,0.91,0.872,0.948,0.8366999626159668,0.0,0.8836599588394165
17,17.0,0.769,0.947,0.834,0.619,0.828,0.875,0.872,0.865,0.912,0.921,0.8441999554634094,0.0,0.9013599753379822
18,18.0,0.906,0.961,0.775,0.7,0.923,0.757,0.873,0.778,0.886,0.859,0.8417999744415283,0.0,0.9006199836730957
19,19.0,0.61,0.88,0.869,0.705,0.85,0.744,0.94,0.856,0.966,0.94,0.8359999656677246,0.0,0.8921999931335449
20,20.0,0.856,0.97,0.853,0.761,0.697,0.797,0.77,0.814,0.928,0.782,0.8227999806404114,0.0,0.8833799958229065
21,21.0,0.768,0.941,0.801,0.586,0.903,0.836,0.827,0.905,0.911,0.932,0.840999960899353,0.0,0.9020799994468689
22,22.0,0.838,0.949,0.895,0.62,0.927,0.833,0.915,0.876,0.943,0.926,0.8721999526023865,0.0,0.9571200013160706
23,23.0,0.926,0.903,0.863,0.807,0.866,0.804,0.882,0.889,0.9,0.957,0.8797000050544739,0.0,0.9706400036811829
24,24.0,0.91,0.977,0.839,0.771,0.881,0.772,0.919,0.833,0.932,0.874,0.8707999587059021,0.0,0.9605199694633484
25,25.0,0.889,0.978,0.784,0.647,0.912,0.767,0.879,0.891,0.935,0.878,0.8560000061988831,0.0,0.9466999769210815
26,26.0,0.912,0.928,0.782,0.719,0.95,0.825,0.911,0.847,0.864,0.96,0.8697999715805054,0.0,0.9629799723625183
