,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.1053835857947794,1.178676750309649,1.1744411426767287,0.9985934013861281,0.5591108142990819,1.177734185985401,1.178676750309649,0.9379978812232012,0.9582873589852384,0.7310981290301449
2,2.0,0.8517364844504067,0.8971985517336704,1.3739941133234985,0.9428217010318298,0.7677600031697668,0.9858233579862413,1.3240853371199384,0.9439537661763069,1.0168625031555423,0.8957641818527997
3,3.0,1.0308749360587341,0.7464757810574114,1.6067409843516711,0.874422066868542,1.1122754746441577,1.2990170903496918,0.8392957716495888,1.0292268549774959,0.6325524696486796,0.8291185703940288
4,4.0,0.7255141630629336,0.7242094121974824,1.4065294889877025,1.2050551276068246,1.0140227237699928,1.6243785550035648,0.77998960598111,0.965147166570569,0.7506057850681451,0.8045479717516751
5,5.0,0.7609520205530219,0.5019503605935735,1.3593613977587535,1.5790367812200166,1.2613909352980832,1.1248110083861542,0.753531112592514,1.153285734630654,0.6763903214319699,0.8292903275352576
6,6.0,0.8373337375531933,0.6553396463009361,1.6197429157739485,1.6670697469315585,0.9110727229368638,1.0935917283216874,0.9755707864122203,0.9732322239223283,0.5063589218398704,0.7606875700073938
7,7.0,0.8632022468219536,0.5002501063872348,1.2451969844673827,1.9931050271432924,1.2045351656307421,1.1591578358319141,0.7496819251982793,0.8191350912556736,0.6690588642697086,0.7966767529938206
8,8.0,0.8576528136414722,0.5017347026801081,1.4420188234807216,2.0069388107204325,0.8871369537758493,1.1934450116043431,0.9954544549128308,0.7637185807390956,0.5984975308075028,0.7534023176376454
9,9.0,0.9116228641596139,0.5010817929966944,1.830283914629451,1.3300780016011133,0.8086986723633686,1.2197807133405052,1.3564501445344288,1.003477130667847,0.5010817929966944,0.5374449727102852
10,10.0,0.7816127945215098,0.6034736870906136,1.8301614577980423,1.2191704642923515,1.0408151365167388,1.4582020310934736,1.1140524146671167,0.9071968586213478,0.5070455982658362,0.5382695571329705
11,11.0,0.8188213653649514,0.7893492846941849,1.9463343062020773,1.4794600008136272,0.9109299009696887,1.0749892569268822,0.9699707796343976,1.0369779522931526,0.4865835765505193,0.4865835765505193
12,12.0,0.7989587543070626,0.6329885234800122,1.776404071299328,1.8506196569631155,1.1800467352159334,0.8757750999791081,0.7694756607241655,1.1249673846438888,0.49703082891231776,0.4937332844750676
13,13.0,0.6932159793684636,0.5213828339703633,1.683413239831694,1.6473250970213358,1.3075907609557031,1.3530838628973816,0.799783934388487,0.9965921501391184,0.49880607071372735,0.49880607071372735
14,14.0,0.670120791479149,0.4883371115056627,1.8006357472303096,1.953348446022651,0.9913404150209255,1.2181127112070034,1.1010923174381704,0.778102280849719,0.5105730677407472,0.4883371115056627
15,15.0,0.5888542842801491,0.4846736602307685,1.938694640923074,1.3113613915415,1.2180162112791502,1.177064325600986,1.618052845253977,0.6939353204288558,0.4846736602307685,0.4846736602307685
16,16.0,0.49114939207635977,0.4836974698910331,1.3912247377988218,1.326621403659814,1.1627560163867905,1.4825937139997643,1.922435868362892,0.772126458042459,0.4836974698910331,0.4836974698910331
17,17.0,0.4690735130860736,0.4690735130860736,1.3537236613465775,1.6479136112417352,1.4380207096959117,1.686858057349929,1.4788542919599108,0.5183356160616414,0.4690735130860736,0.4690735130860736
18,18.0,0.4869807435697982,0.4869807435697982,1.3766460085625316,1.724782678349017,1.1199216305790394,1.4714653046023194,1.6550954984604342,0.7041659051674654,0.4869807435697982,0.4869807435697982
19,19.0,0.495893887300772,0.495893887300772,1.4640405756741823,1.6468281054201361,0.9996088051722005,1.6444545170291855,1.5680122409648691,0.6433983225379123,0.495893887300772,0.5459757712991986
20,20.0,0.614884239309281,0.49257959640002713,1.712701905385988,1.644971620076317,0.91272630665218,1.5015242863201668,1.5120718296569884,0.6051256134385931,0.49257959640002713,0.5108350063604296
21,21.0,0.5678330694197584,0.4919572224493655,1.5515674026416442,1.8347653417449998,0.7737350670284343,1.754658489933657,1.189667962823386,0.752370978164632,0.4919572224493655,0.59148724334476
22,22.0,0.5809538668604606,0.49135588088020715,1.4595227730906544,1.8187700232364472,0.6855856190709293,1.9654235235208286,1.080385705820161,0.9009712889851863,0.49135588088020715,0.5256754376549199
23,23.0,0.5349605959946613,0.5238656993546826,1.2109815821646834,1.7069057054258292,0.7099504170892612,2.0954627974187305,1.2833063757849423,0.8504750982989083,0.5408221137429681,0.5432696147253341
24,24.0,0.497412789980765,0.497412789980765,1.2988593434816205,1.7477642468013,0.7531393933882596,1.98965115992306,1.2220075621476667,0.9945101735436275,0.497412789980765,0.5018297507721717
25,25.0,0.4965339871500329,0.49714563071616436,1.1914239747973647,1.9861359486001315,0.841438633688767,1.9861359486001315,1.0033634508295053,0.9532842102060934,0.5480042282617771,0.4965339871500329
26,26.0,0.5114401129564962,0.502936970509429,1.1559560747712578,2.011747882037716,0.9441562285178039,1.89187722988263,0.9074982599836052,0.9886018268266026,0.5654724437826867,0.5203129707317734
27,27.0,0.5601768690480522,0.5038404119257939,1.1296974415774494,1.7609017070060753,1.0075870810546994,2.0153616477031755,0.9553843525281918,0.9838896268192701,0.5500909562515749,0.5330699060857178
28,28.0,0.5318663601275676,0.497083476453702,1.205976400402336,1.833388135008956,1.007929399966632,1.9490427227543348,0.9013137367282208,1.010553426162398,0.5260642339853715,0.5367821084104805
29,29.0,0.5411241124485187,0.5090514312900495,1.1682956065348304,1.7078275180066331,1.0005546918120831,2.036205725160198,0.9838857838672476,1.0217885151478905,0.5222151844425,0.5090514312900495
30,30.0,0.4934124029428651,0.4884795105377297,1.2589054035880929,1.9342483113322366,1.0559609589888594,1.9010090293683422,0.9463443346390801,0.9363660629615055,0.4967944751035571,0.4884795105377297
31,31.0,0.49460688857816393,0.49460688857816393,1.252668781588331,1.8971494421112602,0.9836205251462724,1.9784275543126557,0.8437364455256214,1.0659696970032029,0.49460688857816393,0.49460688857816393
32,32.0,0.5769241325034531,0.4971438574388163,1.3210459244207085,1.8465147717603914,0.9227770598142094,1.9885754297552651,0.8228613081954254,1.0298698012340999,0.4971438574388163,0.4971438574388163
33,33.0,0.6050369204980275,0.5000674425570009,1.3191696687944128,1.8449988703212612,0.9378278249959533,2.0002697702280035,0.7746151897728206,1.0102634088926195,0.5000674425570009,0.5076834613829017
34,34.0,0.7541531391240923,0.4996816785665407,1.220802546856186,1.9448495717696026,0.9416864321661418,1.8323293466457484,0.6995745360438973,1.1013283758360324,0.4996816785665407,0.5059126944252166
35,35.0,0.7338393916018654,0.4944416585860435,1.2116744067156695,1.9516582104516347,0.9625317831497824,1.83727366118666,0.7116363859486305,1.1080611851876272,0.4944416585860435,0.4944416585860435
36,36.0,0.7184113301794104,0.49670701155809227,1.1923847654494464,1.986828046232369,0.9483457805841801,1.8276570811467596,0.7238029473723412,1.112449014361216,0.49670701155809227,0.49670701155809227
37,37.0,0.7170384611215613,0.4980040980624753,1.2713031782685311,1.9920163922499012,0.9324414635023347,1.7621277992716138,0.6960394750998699,1.1350209362987607,0.4980040980624753,0.4980040980624753
38,38.0,0.7006495278348631,0.4945390107977696,1.2731839620935528,1.9010867740586979,0.8964878109156149,1.8908006742131345,0.7142868959225717,1.1398873225682578,0.4945390107977696,0.4945390107977696
39,39.0,0.6849103906304604,0.49878893375813854,1.2563378631556879,1.8314461860962372,0.8938740736506261,1.9951557350325542,0.6969857097489935,1.1422609971730509,0.49878893375813854,0.5014511769961136
40,40.0,0.6974545494494081,0.4954536208793434,1.2252566932870146,1.9133492812367405,0.9082450712334319,1.9126150587629622,0.7197574242101749,1.136961059182237,0.4954536208793434,0.4954536208793434
41,41.0,0.6733537969682074,0.4951218402330922,1.2730096637868256,1.9053939785431524,0.8677882972483617,1.9191933924358016,0.6837195286745136,1.18080039425393,0.4977546535399497,0.5038644543161643
42,42.0,0.6753780655701817,0.49689955522710766,1.2684372732787814,1.9875982209084306,0.8615641584496032,1.8966832978670096,0.6792230192602141,1.140417298984457,0.49689955522710766,0.49689955522710766
43,43.0,0.6653092252512934,0.4968275132682364,1.2565438187462008,1.9721144408601397,0.8456696746697997,1.9685279497760764,0.674336219072101,1.127016131819681,0.4968275132682364,0.4968275132682364
44,44.0,0.6633084265062358,0.49865329813793635,1.2831950472780047,1.9485673978338214,0.8352382180959531,1.9946131925517454,0.6852042543144806,1.0939135690059487,0.49865329813793635,0.49865329813793635
45,45.0,0.6841927188354971,0.5000644866421622,1.2640901933962954,1.9369101265032425,0.8589549926439983,1.9755556357720208,0.7067779376577339,1.0733249352647254,0.5000644866421622,0.5000644866421622
46,46.0,0.6942404997012883,0.4987110806606965,1.2489852978339149,1.994844322642786,0.8503902287346304,1.954683923807106,0.714294496055152,1.0463836303088352,0.4987110806606965,0.4987554395948935
47,47.0,0.706445790599764,0.4988969746805364,1.2646045792755896,1.9955878987221456,0.872989357112468,1.9267921707100395,0.6972355936335717,1.0382826867932877,0.4988969746805364,0.500267973792058
48,48.0,0.7202922201686991,0.4991928941422655,1.2457901772433393,1.996771576569062,0.9084445814740628,1.9202724053240512,0.6849418101358552,1.0259085466581346,0.4991928941422655,0.4991928941422655
49,49.0,0.727382184212399,0.5006752832066489,1.2490272619464358,1.9987594506121642,0.9133589289893173,1.90458112510035,0.6852124490406233,1.0179325471642646,0.5023954865211486,0.5006752832066489
50,50.0,0.7232077966626695,0.5012987865265088,1.256097393827801,1.976191017419936,0.9117569795145799,1.9303602673864246,0.6888155199553284,1.0052318443005286,0.5070614407958683,0.4999789536103527
51,51.0,0.7259699862642129,0.5046243981710011,1.2503477227492006,1.9889032304420655,0.91213277642926,1.9249860779295642,0.6863485353098724,0.9986312263116403,0.5072704352201346,0.5007856111730482
52,52.0,0.7318878184620944,0.5017655418882976,1.2623060755476656,1.9875484057311847,0.9158972113376809,1.9186797349907432,0.6806880628231727,0.9882188128083803,0.5053053197753806,0.5077030166353987
53,53.0,0.7358584139269232,0.5080314939649825,1.2811405628990402,1.9835980675641824,0.9192100158760892,1.9064593734105357,0.6720378227356311,0.9819246976454139,0.5001579318542365,0.5115816201229657
54,54.0,0.7350007545181781,0.5113106031893617,1.279135608384934,2.0112001989358954,0.9244032745064856,1.876262166648194,0.6773231061299496,0.9716041036299147,0.5032855536857169,0.5104746303713703
55,55.0,0.7404765193270799,0.5103004336179516,1.2943478040642307,2.0026509451538397,0.9314763671020265,1.8613536404643205,0.6803251318150714,0.9648482344031324,0.5006627362884599,0.5135581877638881
56,56.0,0.7485824822808667,0.5079012852726045,1.2900673323728729,2.006459084210886,0.9397917324454692,1.8393117583785048,0.6842054852150763,0.9643538479876204,0.5068525657180462,0.5124744261180543
57,57.0,0.7493591796231511,0.5066012109641711,1.2934737546069077,2.0041184641165795,0.9468070360959872,1.827279916867693,0.6862865892434129,0.9557489835458596,0.5128878388131437,0.5174370261230935
