,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.833,0.0,0.259,0.003,0.348,0.01,0.282,0.013,0.645,0.183,0.25759997963905334,0.0,0.2565999925136566
1,1.0,0.005,0.0,0.931,0.001,0.0,0.0,0.015,0.0,0.589,0.0,0.15410000085830688,0.0,0.14923334121704102
2,2.0,0.822,0.195,0.716,0.779,0.068,0.867,0.266,0.925,0.973,0.926,0.6536999940872192,0.0,0.6712499856948853
3,3.0,0.209,0.41,0.437,0.815,0.943,0.861,0.648,0.995,0.942,0.576,0.6836000084877014,0.0,0.7112666964530945
4,4.0,0.704,0.976,0.801,0.799,0.635,0.526,0.822,0.044,0.878,0.898,0.708299994468689,0.0,0.7497333288192749
5,5.0,0.0,0.244,0.409,0.171,0.145,0.0,0.684,0.0,0.932,0.0,0.25849997997283936,0.0,0.2720166742801666
6,6.0,0.92,0.985,0.703,0.871,0.793,0.989,0.553,0.914,0.933,0.937,0.8597999811172485,0.0,0.8648666739463806
7,7.0,0.864,0.972,0.721,0.741,0.834,0.99,0.696,0.808,0.987,0.753,0.8366000056266785,0.0,0.856249988079071
8,8.0,0.693,0.935,0.206,0.888,0.879,0.974,0.817,0.957,0.944,0.93,0.8222999572753906,0.0,0.8323000073432922
9,9.0,0.836,0.962,0.921,0.91,0.651,0.979,0.646,0.985,0.964,0.844,0.8697999715805054,0.0,0.8812666535377502
10,10.0,0.697,0.941,0.707,0.812,0.591,0.509,0.873,0.991,0.949,0.725,0.7795000076293945,0.0,0.8017333149909973
11,11.0,0.652,0.961,0.289,0.696,0.958,0.867,0.607,0.922,0.978,0.95,0.7879999876022339,0.0,0.7975333333015442
12,12.0,0.875,0.971,0.893,0.785,0.865,0.995,0.593,0.798,0.944,0.926,0.8644999861717224,0.0,0.8720166683197021
13,13.0,0.731,0.974,0.806,0.836,0.904,0.975,0.786,0.765,0.978,0.989,0.8743999600410461,0.0,0.88836669921875
14,14.0,0.917,0.898,0.942,0.884,0.829,0.621,0.464,0.999,0.966,0.718,0.8237999677658081,0.0,0.8302333354949951
15,15.0,0.546,0.989,0.822,0.777,0.882,0.949,0.846,0.982,0.962,0.849,0.8603999614715576,0.0,0.8747166991233826
16,16.0,0.436,0.186,0.848,0.725,0.503,0.476,0.888,0.12,0.969,0.225,0.5375999808311462,0.0,0.5455833673477173
17,17.0,0.878,0.953,0.974,0.863,0.217,0.923,0.393,0.95,0.959,0.964,0.8073999881744385,0.0,0.8143500089645386
18,18.0,0.847,0.97,0.911,0.852,0.715,0.976,0.795,0.983,0.98,0.942,0.8970999717712402,0.0,0.9079166650772095
19,19.0,0.823,0.959,0.73,0.857,0.922,0.988,0.805,0.932,0.997,0.935,0.8947999477386475,0.0,0.9041666984558105
20,20.0,0.93,0.982,0.881,0.712,0.9,0.972,0.722,0.99,0.97,0.858,0.8916999697685242,0.0,0.9065666794776917
21,21.0,0.885,0.984,0.946,0.844,0.904,0.983,0.463,0.9,0.975,0.936,0.8819999694824219,0.0,0.8886333703994751
22,22.0,0.687,0.955,0.786,0.904,0.893,0.784,0.88,0.99,0.952,0.925,0.8755999803543091,0.0,0.8857333660125732
23,23.0,0.908,0.982,0.954,0.855,0.754,0.993,0.69,0.979,0.988,0.918,0.9020999670028687,0.0,0.9198333621025085
24,24.0,0.798,0.934,0.949,0.909,0.861,0.922,0.775,0.971,0.979,0.929,0.9027000069618225,0.0,0.9177500009536743
25,25.0,0.884,0.973,0.896,0.917,0.912,0.987,0.768,0.982,0.986,0.92,0.92249995470047,0.0,0.9401000142097473
26,26.0,0.901,0.983,0.873,0.864,0.944,0.991,0.728,0.946,0.966,0.967,0.9162999987602234,0.0,0.9314666986465454
27,27.0,0.8,0.655,0.646,0.558,0.69,0.67,0.927,0.56,0.892,0.953,0.7350999712944031,0.0,0.7392500042915344
28,28.0,0.762,0.945,0.861,0.957,0.921,0.957,0.798,0.958,0.983,0.974,0.9115999937057495,0.0,0.9295666813850403
29,29.0,0.876,0.974,0.883,0.881,0.85,0.975,0.835,0.985,0.958,0.947,0.9163999557495117,0.0,0.9365000128746033
30,30.0,0.859,0.946,0.95,0.81,0.873,0.481,0.778,0.249,0.97,0.955,0.7870999574661255,0.0,0.7961833477020264
31,31.0,0.848,0.985,0.842,0.904,0.954,0.99,0.842,0.978,0.986,0.949,0.9277999997138977,0.0,0.9569666981697083
32,32.0,0.904,0.979,0.926,0.923,0.904,0.958,0.788,0.994,0.987,0.929,0.9291999936103821,0.0,0.9589499831199646
33,33.0,0.868,0.981,0.911,0.888,0.852,0.988,0.852,0.974,0.986,0.961,0.926099956035614,0.0,0.9568666815757751
34,34.0,0.893,0.981,0.88,0.923,0.914,0.993,0.817,0.962,0.984,0.969,0.9315999746322632,0.0,0.963783323764801
35,35.0,0.923,0.979,0.869,0.886,0.919,0.991,0.773,0.967,0.98,0.955,0.9241999983787537,0.0,0.9542666673660278
36,36.0,0.856,0.961,0.902,0.937,0.948,0.977,0.743,0.982,0.988,0.937,0.9230999946594238,0.0,0.956416666507721
37,37.0,0.852,0.964,0.825,0.877,0.843,0.958,0.915,0.984,0.969,0.958,0.9144999980926514,0.0,0.93954998254776
38,38.0,0.907,0.982,0.941,0.914,0.856,0.992,0.754,0.934,0.99,0.974,0.9243999719619751,0.0,0.9589666724205017
39,39.0,0.897,0.988,0.905,0.914,0.945,0.984,0.816,0.986,0.986,0.949,0.9369999766349792,0.0,0.9814167022705078
40,40.0,0.913,0.98,0.908,0.93,0.948,0.945,0.751,0.982,0.988,0.96,0.9304999709129333,0.0,0.9814666509628296
41,41.0,0.871,0.982,0.911,0.914,0.924,0.984,0.813,0.977,0.988,0.957,0.9320999979972839,0.0,0.983916699886322
42,42.0,0.827,0.978,0.919,0.938,0.892,0.971,0.848,0.991,0.984,0.95,0.9297999739646912,0.0,0.9793500304222107
43,43.0,0.906,0.984,0.804,0.925,0.958,0.979,0.778,0.971,0.983,0.974,0.9261999726295471,0.0,0.9752833247184753
44,44.0,0.895,0.984,0.923,0.943,0.938,0.986,0.818,0.976,0.992,0.969,0.9423999786376953,0.0,0.9953666925430298
45,45.0,0.892,0.987,0.925,0.935,0.933,0.986,0.819,0.98,0.992,0.967,0.94159996509552,0.0,0.9967333674430847
46,46.0,0.881,0.99,0.92,0.931,0.929,0.981,0.831,0.983,0.99,0.963,0.9398999810218811,0.0,0.9968500137329102
47,47.0,0.895,0.988,0.916,0.929,0.937,0.986,0.824,0.978,0.992,0.97,0.9414999485015869,0.0,0.9982166886329651
48,48.0,0.883,0.986,0.912,0.932,0.941,0.988,0.825,0.978,0.991,0.969,0.9404999613761902,0.0,0.998283326625824
49,49.0,0.894,0.989,0.922,0.939,0.941,0.992,0.823,0.981,0.991,0.965,0.9436999559402466,0.0,0.9991833567619324
