,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.10000000149011612
1,1.0,0.0,0.0,0.988,0.0,0.0,0.0,0.0,0.0,0.415,0.0,0.140299990773201,0.0,0.1407500058412552
2,2.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10619999468326569,0.0,0.10680000483989716
3,3.0,0.501,0.387,0.769,0.112,0.105,0.015,0.333,0.0,0.999,0.168,0.33889999985694885,0.0,0.3597833514213562
4,4.0,0.62,0.846,0.568,0.191,0.071,0.863,0.362,0.445,0.776,0.966,0.5708000063896179,0.0,0.5777333378791809
5,5.0,0.193,0.098,0.899,0.006,0.425,0.0,0.48,0.453,0.966,0.126,0.3646000027656555,0.0,0.36695000529289246
6,6.0,0.865,0.977,0.884,0.923,0.609,0.061,0.68,1.0,0.655,0.405,0.7058999538421631,0.0,0.7159667015075684
7,7.0,0.818,0.977,0.764,0.904,0.897,0.992,0.66,0.828,0.981,0.945,0.8765999674797058,0.0,0.8893833160400391
8,8.0,0.909,0.981,0.806,0.888,0.86,0.932,0.719,0.985,0.967,0.936,0.8982999920845032,0.0,0.9070500135421753
9,9.0,0.902,0.966,0.935,0.925,0.345,0.932,0.643,0.986,0.978,0.934,0.8545999526977539,0.0,0.862933337688446
10,10.0,0.91,0.939,0.774,0.899,0.713,0.945,0.693,0.991,0.96,0.925,0.8748999834060669,0.0,0.8826000094413757
11,11.0,0.821,0.023,0.636,0.534,0.22,0.0,0.718,0.0,0.821,0.033,0.3805999755859375,0.0,0.3890833258628845
12,12.0,0.798,0.084,0.903,0.422,0.175,0.013,0.679,0.289,0.809,0.077,0.42489999532699585,0.0,0.41830000281333923
13,13.0,0.897,0.988,0.891,0.961,0.823,0.99,0.636,0.946,0.983,0.969,0.9083999991416931,0.0,0.9204166531562805
14,14.0,0.912,0.975,0.893,0.905,0.771,0.647,0.657,0.997,0.97,0.886,0.861299991607666,0.0,0.8765000104904175
15,15.0,0.77,0.99,0.863,0.901,0.909,0.993,0.83,0.948,0.978,0.928,0.9109999537467957,0.0,0.9251333475112915
16,16.0,0.853,0.984,0.9,0.935,0.776,0.996,0.809,0.929,0.98,0.927,0.9088999629020691,0.0,0.9167166948318481
17,17.0,0.803,0.977,0.962,0.924,0.616,0.989,0.681,0.972,0.985,0.903,0.8811999559402466,0.0,0.8964666724205017
18,18.0,0.872,0.972,0.893,0.945,0.892,0.984,0.738,0.979,0.984,0.945,0.9203999638557434,0.0,0.93381667137146
19,19.0,0.55,0.195,0.71,0.577,0.567,0.127,0.935,0.998,0.656,0.552,0.5866999626159668,0.0,0.6011999845504761
20,20.0,0.885,0.976,0.839,0.917,0.857,0.977,0.815,0.986,0.989,0.928,0.9168999791145325,0.0,0.9337833523750305
21,21.0,0.831,0.979,0.909,0.902,0.963,0.957,0.452,0.994,0.989,0.929,0.8904999494552612,0.0,0.9022833704948425
22,22.0,0.905,0.995,0.928,0.891,0.788,0.97,0.757,0.985,0.987,0.953,0.9158999919891357,0.0,0.9293666481971741
