,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,train_acc
0,0.0,0.0642,0.0,0.0036,0.1658,0.7458,0.0008,0.0,0.2284,0.207,0.4776,0.18931999802589417
1,1.0,0.5778,0.59,0.1602,0.3746,0.0,0.495,0.2008,0.3108,0.2578,0.114,0.30809998512268066
2,2.0,0.181,0.5558,0.2154,0.4472,0.0012,0.096,0.8278,0.2854,0.8466,0.4492,0.39056000113487244
3,3.0,0.799,0.478,0.5808,0.127,0.5402,0.2242,0.521,0.512,0.2766,0.4778,0.4536599814891815
4,4.0,0.4518,0.8792,0.5336,0.2292,0.2812,0.867,0.534,0.3214,0.6036,0.4692,0.5170199871063232
5,5.0,0.3902,0.2192,0.3106,0.4316,0.8112,0.514,0.2276,0.6556,0.8094,0.5722,0.494159996509552
6,6.0,0.4486,0.9114,0.742,0.3004,0.1998,0.4208,0.7424,0.6514,0.2004,0.4328,0.5049999952316284
7,7.0,0.5888,0.8324,0.4356,0.369,0.8882,0.5532,0.2988,0.6524,0.6938,0.6382,0.595039963722229
8,8.0,0.4102,0.6124,0.2328,0.8826,0.5638,0.4494,0.1618,0.1982,0.6518,0.809,0.49719998240470886
9,9.0,0.8,0.4602,0.6462,0.7332,0.3938,0.4676,0.843,0.747,0.694,0.6446,0.6429600119590759
10,10.0,0.461,0.239,0.3478,0.314,0.6408,0.8124,0.646,0.3738,0.8172,0.9702,0.5622199773788452
11,11.0,0.6454,0.8416,0.7122,0.397,0.362,0.8258,0.8524,0.5394,0.5996,0.7002,0.6475600004196167
12,12.0,0.8206,0.8726,0.7324,0.795,0.576,0.2436,0.64,0.7998,0.7528,0.7404,0.6973199844360352
13,13.0,0.6154,0.7804,0.5142,0.375,0.8584,0.6866,0.2618,0.829,0.5582,0.7536,0.623259961605072
14,14.0,0.63,0.7992,0.264,0.8992,0.2948,0.535,0.1158,0.6152,0.689,0.7888,0.5630999803543091
15,15.0,0.73,0.5904,0.8804,0.537,0.595,0.3178,0.3762,0.4418,0.6924,0.8092,0.5970199704170227
16,16.0,0.666,0.8628,0.5994,0.3552,0.3596,0.443,0.8344,0.9706,0.7226,0.755,0.6568599939346313
17,17.0,0.7292,0.8572,0.6568,0.628,0.9236,0.8102,0.561,0.3672,0.8022,0.7904,0.7125799655914307
18,18.0,0.7384,0.7864,0.6846,0.7924,0.8598,0.635,0.8002,0.8364,0.8092,0.6318,0.757420003414154
19,19.0,0.507,0.8426,0.5652,0.7232,0.813,0.813,0.7584,0.7834,0.8388,0.7886,0.7433199882507324
20,20.0,0.764,0.8606,0.7832,0.5752,0.8496,0.5286,0.9242,0.4666,0.845,0.5378,0.7134799957275391
21,21.0,0.724,0.9152,0.808,0.7556,0.8678,0.5584,0.8432,0.5666,0.8096,0.8648,0.7713199853897095
22,22.0,0.8048,0.8312,0.909,0.7858,0.6874,0.2586,0.5502,0.78,0.6264,0.6894,0.6922799944877625
23,23.0,0.8226,0.847,0.6792,0.7256,0.6902,0.7198,0.7982,0.5928,0.8776,0.8286,0.7581599950790405
24,24.0,0.7974,0.7396,0.8254,0.526,0.6282,0.735,0.9362,0.7814,0.6422,0.9248,0.7536199688911438
25,25.0,0.7428,0.8556,0.8026,0.7308,0.6572,0.821,0.8728,0.736,0.741,0.7256,0.7685399651527405
26,26.0,0.7218,0.951,0.8358,0.946,0.7478,0.677,0.7614,0.8176,0.8404,0.7886,0.808739960193634
27,27.0,0.8988,0.8648,0.7816,0.8066,0.8466,0.8804,0.9052,0.8202,0.8916,0.84,0.8535799980163574
28,28.0,0.8332,0.913,0.8822,0.9214,0.8578,0.5902,0.7628,0.8394,0.8578,0.9138,0.8371599912643433
29,29.0,0.9166,0.9256,0.7496,0.6998,0.7704,0.893,0.8632,0.9116,0.8742,0.9018,0.8505799770355225
30,30.0,0.8794,0.9046,0.8278,0.8422,0.8938,0.6534,0.9376,0.6932,0.874,0.8704,0.8376399874687195
31,31.0,0.6746,0.902,0.7754,0.8556,0.8924,0.743,0.8536,0.863,0.9436,0.8702,0.8373399972915649
32,32.0,0.8124,0.9444,0.8614,0.8608,0.8438,0.7392,0.9204,0.8792,0.9138,0.839,0.8614400029182434
33,33.0,0.5952,0.9508,0.893,0.7628,0.8114,0.9032,0.9174,0.7292,0.8314,0.819,0.8213399648666382
34,34.0,0.9224,0.9406,0.9026,0.8916,0.8732,0.8924,0.878,0.889,0.9318,0.9442,0.9065799713134766
35,35.0,0.9236,0.9386,0.9184,0.8576,0.9172,0.9076,0.8854,0.8984,0.9406,0.905,0.9092399477958679
36,36.0,0.9048,0.9464,0.8388,0.8278,0.9198,0.9394,0.942,0.8828,0.9486,0.9274,0.9077799916267395
37,37.0,0.9162,0.9368,0.8916,0.9398,0.9324,0.8226,0.8672,0.8888,0.9272,0.9244,0.904699981212616
