,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
46,46.0,0.913,0.948,0.883,0.802,0.917,0.862,0.941,0.931,0.939,0.945,0.9080999493598938,0.0,1.0
47,47.0,0.914,0.948,0.885,0.812,0.916,0.857,0.933,0.932,0.941,0.938,0.9075999855995178,0.0,1.0
48,48.0,0.913,0.951,0.888,0.802,0.914,0.861,0.937,0.936,0.944,0.944,0.9089999794960022,0.0,1.0
49,49.0,0.907,0.947,0.891,0.807,0.909,0.857,0.941,0.937,0.953,0.939,0.9088000059127808,0.0,1.0
50,50.0,0.906,0.948,0.893,0.802,0.908,0.854,0.945,0.931,0.94,0.947,0.9073999524116516,0.0,0.9999799728393555
51,51.0,0.917,0.939,0.889,0.833,0.91,0.837,0.933,0.937,0.945,0.946,0.9085999727249146,0.0,1.0
52,52.0,0.912,0.947,0.903,0.773,0.914,0.881,0.931,0.934,0.937,0.947,0.9078999757766724,0.0,1.0
53,53.0,0.907,0.944,0.874,0.805,0.912,0.855,0.947,0.935,0.942,0.94,0.9060999751091003,0.0,1.0
54,54.0,0.912,0.946,0.889,0.817,0.913,0.846,0.942,0.933,0.95,0.938,0.9085999727249146,0.0,1.0
55,55.0,0.922,0.945,0.882,0.812,0.916,0.855,0.938,0.937,0.941,0.94,0.9088000059127808,0.0,1.0
56,56.0,0.914,0.95,0.887,0.806,0.912,0.869,0.93,0.931,0.943,0.945,0.9086999893188477,0.0,1.0
57,57.0,0.912,0.948,0.883,0.812,0.91,0.859,0.934,0.939,0.94,0.943,0.9079999923706055,0.0,1.0
58,58.0,0.912,0.948,0.894,0.799,0.907,0.859,0.94,0.935,0.938,0.942,0.9073999524116516,0.0,1.0
59,59.0,0.904,0.946,0.889,0.813,0.913,0.856,0.942,0.931,0.948,0.949,0.9090999960899353,0.0,1.0
60,60.0,0.913,0.947,0.893,0.803,0.914,0.854,0.932,0.938,0.947,0.937,0.9077999591827393,0.0,1.0
61,61.0,0.91,0.944,0.888,0.816,0.909,0.855,0.933,0.937,0.944,0.951,0.9086999893188477,0.0,1.0
62,62.0,0.909,0.944,0.876,0.811,0.915,0.86,0.942,0.936,0.944,0.946,0.90829998254776,0.0,1.0
63,63.0,0.908,0.952,0.889,0.808,0.912,0.862,0.939,0.937,0.947,0.936,0.9089999794960022,0.0,1.0
64,64.0,0.911,0.947,0.869,0.807,0.923,0.852,0.937,0.937,0.941,0.951,0.9074999690055847,0.0,1.0
65,65.0,0.909,0.948,0.882,0.805,0.914,0.854,0.948,0.938,0.945,0.941,0.9083999991416931,0.0,1.0
66,66.0,0.903,0.95,0.871,0.788,0.915,0.868,0.948,0.937,0.947,0.944,0.9070999622344971,0.0,1.0
67,67.0,0.909,0.949,0.882,0.793,0.906,0.878,0.936,0.929,0.949,0.936,0.9066999554634094,0.0,1.0
68,68.0,0.906,0.945,0.896,0.815,0.911,0.844,0.933,0.932,0.945,0.95,0.9077000021934509,0.0,1.0
69,69.0,0.908,0.948,0.886,0.804,0.91,0.861,0.943,0.938,0.946,0.94,0.9083999991416931,0.0,1.0
70,70.0,0.908,0.948,0.887,0.818,0.909,0.841,0.941,0.935,0.942,0.942,0.9070999622344971,0.0,1.0
71,71.0,0.906,0.942,0.892,0.801,0.912,0.861,0.927,0.932,0.949,0.949,0.9070999622344971,0.0,1.0
72,72.0,0.908,0.949,0.893,0.824,0.91,0.85,0.934,0.931,0.936,0.935,0.9070000052452087,0.0,1.0
73,73.0,0.907,0.944,0.879,0.802,0.912,0.866,0.94,0.936,0.947,0.943,0.9075999855995178,0.0,1.0
74,74.0,0.908,0.953,0.889,0.813,0.903,0.856,0.944,0.934,0.952,0.933,0.9084999561309814,0.0,1.0
75,75.0,0.9,0.949,0.891,0.808,0.909,0.858,0.937,0.935,0.936,0.946,0.9068999886512756,0.0,1.0
76,76.0,0.908,0.944,0.893,0.82,0.917,0.853,0.941,0.925,0.939,0.94,0.9079999923706055,0.0,1.0
77,77.0,0.908,0.948,0.892,0.814,0.911,0.851,0.939,0.936,0.941,0.938,0.9077999591827393,0.0,1.0
78,78.0,0.9,0.948,0.895,0.79,0.917,0.866,0.938,0.932,0.942,0.943,0.9070999622344971,0.0,1.0
79,79.0,0.904,0.944,0.881,0.809,0.907,0.863,0.93,0.936,0.949,0.947,0.9070000052452087,0.0,1.0
80,80.0,0.894,0.946,0.884,0.824,0.914,0.848,0.941,0.935,0.947,0.947,0.9079999923706055,0.0,1.0
81,81.0,0.907,0.949,0.872,0.811,0.914,0.861,0.944,0.933,0.949,0.938,0.9077999591827393,0.0,1.0
82,82.0,0.901,0.954,0.887,0.799,0.918,0.859,0.931,0.932,0.941,0.934,0.9055999517440796,0.0,1.0
83,83.0,0.905,0.947,0.878,0.823,0.917,0.846,0.946,0.933,0.951,0.944,0.9089999794960022,0.0,1.0
84,84.0,0.909,0.948,0.881,0.811,0.909,0.86,0.93,0.938,0.942,0.947,0.9074999690055847,0.0,1.0
85,85.0,0.911,0.949,0.885,0.823,0.903,0.837,0.949,0.939,0.948,0.94,0.9083999991416931,0.0,1.0
86,86.0,0.906,0.952,0.885,0.811,0.915,0.862,0.933,0.931,0.94,0.941,0.9075999855995178,0.0,1.0
87,87.0,0.905,0.951,0.871,0.82,0.914,0.854,0.937,0.937,0.95,0.942,0.9080999493598938,0.0,1.0
88,88.0,0.919,0.946,0.867,0.804,0.911,0.859,0.945,0.94,0.937,0.945,0.9072999954223633,0.0,1.0
89,89.0,0.899,0.944,0.887,0.798,0.912,0.86,0.944,0.93,0.951,0.943,0.9067999720573425,0.0,1.0
90,90.0,0.919,0.945,0.881,0.793,0.915,0.86,0.949,0.933,0.941,0.939,0.9074999690055847,0.0,1.0
91,91.0,0.91,0.95,0.883,0.813,0.913,0.862,0.935,0.928,0.946,0.942,0.9081999659538269,0.0,1.0
92,92.0,0.915,0.949,0.881,0.799,0.913,0.861,0.944,0.928,0.941,0.942,0.9072999954223633,0.0,1.0
93,93.0,0.901,0.949,0.874,0.799,0.915,0.865,0.944,0.936,0.952,0.94,0.9074999690055847,0.0,1.0
94,94.0,0.908,0.944,0.883,0.793,0.914,0.865,0.936,0.933,0.939,0.943,0.9057999849319458,0.0,1.0
95,95.0,0.9,0.944,0.884,0.817,0.916,0.849,0.944,0.929,0.944,0.949,0.9075999855995178,0.0,1.0
96,96.0,0.903,0.944,0.887,0.821,0.913,0.834,0.933,0.936,0.951,0.941,0.9062999486923218,0.0,1.0
97,97.0,0.897,0.943,0.876,0.801,0.913,0.858,0.947,0.931,0.948,0.948,0.9061999917030334,0.0,1.0
98,98.0,0.905,0.947,0.886,0.82,0.913,0.847,0.941,0.932,0.94,0.941,0.9071999788284302,0.0,1.0
99,99.0,0.914,0.956,0.874,0.819,0.906,0.856,0.942,0.937,0.941,0.934,0.9078999757766724,0.0,1.0
