,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
0,0.0,0.554,0.14,0.002,0.641,0.14,0.148,0.304,0.426,0.323,0.561,0.3238999843597412,0.0,0.3273399770259857
1,1.0,0.394,0.706,0.365,0.487,0.268,0.429,0.524,0.343,0.529,0.559,0.4603999853134155,0.0,0.46276000142097473
2,2.0,0.517,0.781,0.303,0.112,0.676,0.419,0.838,0.344,0.737,0.538,0.5264999866485596,0.0,0.5344200134277344
3,3.0,0.254,0.63,0.741,0.514,0.519,0.283,0.59,0.183,0.748,0.62,0.5081999897956848,0.0,0.520799994468689
4,4.0,0.633,0.839,0.587,0.738,0.624,0.283,0.627,0.649,0.791,0.551,0.6322000026702881,0.0,0.6427199840545654
5,5.0,0.647,0.567,0.696,0.613,0.562,0.606,0.476,0.813,0.343,0.511,0.5834000110626221,0.0,0.5897600054740906
6,6.0,0.698,0.51,0.823,0.491,0.779,0.705,0.626,0.686,0.661,0.889,0.6868000030517578,0.0,0.7014399766921997
7,7.0,0.905,0.834,0.563,0.446,0.905,0.659,0.541,0.679,0.801,0.608,0.6940999627113342,0.0,0.7051599621772766
8,8.0,0.757,0.607,0.508,0.317,0.593,0.941,0.703,0.546,0.659,0.771,0.6401999592781067,0.0,0.662339985370636
9,9.0,0.722,0.916,0.613,0.751,0.774,0.576,0.721,0.682,0.751,0.808,0.7313999533653259,0.0,0.7577799558639526
10,10.0,0.533,0.855,0.647,0.617,0.099,0.358,0.809,0.653,0.953,0.63,0.615399956703186,0.0,0.6391599774360657
11,11.0,0.896,0.81,0.604,0.629,0.784,0.745,0.682,0.519,0.773,0.817,0.7258999943733215,0.0,0.7465800046920776
12,12.0,0.634,0.718,0.81,0.824,0.823,0.375,0.523,0.684,0.56,0.886,0.6836999654769897,0.0,0.7024199962615967
13,13.0,0.692,0.895,0.614,0.758,0.555,0.286,0.922,0.865,0.393,0.892,0.6872000098228455,0.0,0.7050600051879883
14,14.0,0.768,0.926,0.805,0.596,0.794,0.653,0.946,0.737,0.948,0.6,0.7773000001907349,0.0,0.8014400005340576
15,15.0,0.718,0.967,0.867,0.64,0.868,0.784,0.621,0.707,0.857,0.872,0.7900999784469604,0.0,0.821619987487793
16,16.0,0.816,0.694,0.756,0.669,0.561,0.844,0.769,0.939,0.892,0.907,0.7846999764442444,0.0,0.8157599568367004
