,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,train_acc
0,0.0,0.5913333333333334,0.09633333333333334,0.08866666666666667,0.0,0.001,0.0,0.00016666666666666666,0.0,0.35283333333333333,0.03166666666666667,0.11620000004768372
1,1.0,0.1095,0.0,0.6715,0.0,0.0,0.0,0.0,0.0,0.7641666666666667,0.018833333333333334,0.15639999508857727
2,2.0,0.13833333333333334,0.0008333333333333334,0.03383333333333333,0.0,0.018833333333333334,0.9938333333333333,0.21183333333333335,0.0,0.7645,0.7376666666666667,0.2899666726589203
3,3.0,0.022166666666666668,0.0003333333333333333,0.2806666666666667,0.0008333333333333334,0.0055,0.9995,0.08016666666666666,0.0,0.7426666666666667,0.0031666666666666666,0.2135000079870224
4,4.0,0.017333333333333333,0.003,0.16933333333333334,0.00016666666666666666,0.16366666666666665,0.9683333333333334,0.36916666666666664,0.0,0.8075,0.006166666666666667,0.2504666745662689
5,5.0,0.5938333333333333,0.008166666666666666,0.45366666666666666,0.0145,0.235,0.8276666666666667,0.6071666666666666,0.078,0.975,0.12883333333333333,0.3921833336353302
6,6.0,0.704,0.09533333333333334,0.36333333333333334,0.43316666666666664,0.31133333333333335,0.2803333333333333,0.8071666666666667,0.31316666666666665,0.8795,0.03866666666666667,0.42260000109672546
7,7.0,0.5588333333333333,0.9845,0.5298333333333334,0.8476666666666667,0.8773333333333333,0.96,0.7873333333333333,0.9166666666666666,0.9788333333333333,0.8675,0.8308500051498413
8,8.0,0.25266666666666665,0.9736666666666667,0.9925,0.3893333333333333,0.2778333333333333,0.0295,0.23983333333333334,0.0,0.8878333333333334,0.5496666666666666,0.45928335189819336
9,9.0,0.7341666666666666,0.7868333333333334,0.9496666666666667,0.7215,0.6193333333333333,0.04,0.5731666666666667,0.3451666666666667,0.7783333333333333,0.9966666666666667,0.6544833183288574
10,10.0,0.926,0.9863333333333333,0.892,0.9305,0.8721666666666666,0.8996666666666666,0.4151666666666667,0.9866666666666667,0.9546666666666667,0.9271666666666667,0.8790333271026611
11,11.0,0.5991666666666666,0.95,0.6686666666666666,0.8561666666666666,0.8583333333333333,0.9565,0.8791666666666667,0.9565,0.945,0.9403333333333334,0.8609833717346191
12,12.0,0.9306666666666666,0.9495,0.7641666666666667,0.948,0.6638333333333334,0.352,0.7286666666666667,0.9796666666666667,0.7943333333333333,0.9455,0.8056333661079407
13,13.0,0.7925,0.9691666666666666,0.96,0.9578333333333333,0.712,0.9233333333333333,0.6661666666666667,0.9951666666666666,0.9515,0.914,0.8841666579246521
14,14.0,0.5131666666666667,0.9678333333333333,0.14683333333333334,0.9431666666666667,0.7221666666666666,0.913,0.9355,0.9725,0.9325,0.9541666666666667,0.800083339214325
15,15.0,0.9471666666666667,0.989,0.9056666666666666,0.8941666666666667,0.8508333333333333,0.913,0.5375,0.9963333333333333,0.9635,0.8895,0.8886666893959045
16,16.0,0.93,0.9983333333333333,0.9581666666666667,0.8638333333333333,0.7843333333333333,0.9498333333333333,0.5068333333333334,0.9456666666666667,0.9861666666666666,0.9805,0.8903666734695435
17,17.0,0.956,0.8556666666666667,0.9275,0.8541666666666666,0.2465,0.8331666666666667,0.32066666666666666,0.9771666666666666,0.9816666666666667,0.9621666666666666,0.7914666533470154
18,18.0,0.7593333333333333,0.9776666666666667,0.8686666666666667,0.9493333333333334,0.8771666666666667,0.9931666666666666,0.8126666666666666,0.902,0.9781666666666666,0.9558333333333333,0.9074000120162964
19,19.0,0.7506666666666667,0.9491666666666667,0.712,0.9068333333333334,0.9588333333333333,0.9983333333333333,0.5536666666666666,0.42633333333333334,0.9475,0.871,0.8074333667755127
20,20.0,0.783,0.9803333333333333,0.695,0.8576666666666667,0.915,0.897,0.8783333333333333,0.9918333333333333,0.9641666666666666,0.9391666666666667,0.8901500105857849
21,21.0,0.6988333333333333,0.9828333333333333,0.8328333333333333,0.8703333333333333,0.8296666666666667,0.9608333333333333,0.8376666666666667,0.9415,0.982,0.9768333333333333,0.8913333415985107
22,22.0,0.728,0.9841666666666666,0.7608333333333334,0.8098333333333333,0.813,0.6788333333333333,0.9286666666666666,0.9853333333333333,0.8563333333333333,0.9401666666666667,0.8485167026519775
23,23.0,0.8845,0.983,0.9076666666666666,0.8868333333333334,0.9283333333333333,0.9935,0.7946666666666666,0.9286666666666666,0.9875,0.9811666666666666,0.9275833368301392
24,24.0,0.853,0.9873333333333333,0.9016666666666666,0.9733333333333334,0.6816666666666666,0.9531666666666667,0.8423333333333334,0.9651666666666666,0.9376666666666666,0.9773333333333334,0.9072666764259338
25,25.0,0.6741666666666667,0.25633333333333336,0.8318333333333333,0.5918333333333333,0.602,0.0,0.9015,0.6456666666666667,0.7486666666666667,0.49766666666666665,0.5749666690826416
