,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
46,46.0,0.886,0.957,0.877,0.814,0.898,0.878,0.949,0.905,0.944,0.916,0.9023999571800232,0.0,0.9422000050544739
47,47.0,0.895,0.948,0.897,0.795,0.843,0.84,0.945,0.937,0.941,0.96,0.9000999927520752,0.0,0.9470399618148804
48,48.0,0.936,0.948,0.88,0.857,0.934,0.876,0.934,0.929,0.943,0.942,0.9178999662399292,0.0,0.9686599969863892
49,49.0,0.947,0.953,0.887,0.872,0.932,0.842,0.941,0.935,0.939,0.947,0.9194999933242798,0.0,0.9713199734687805
50,50.0,0.943,0.953,0.906,0.846,0.927,0.858,0.943,0.934,0.95,0.945,0.9204999804496765,0.0,0.9758399724960327
51,51.0,0.921,0.959,0.879,0.85,0.937,0.87,0.951,0.939,0.955,0.928,0.9188999533653259,0.0,0.9745999574661255
52,52.0,0.918,0.94,0.862,0.852,0.936,0.879,0.966,0.937,0.961,0.942,0.9192999601364136,0.0,0.9755399823188782
53,53.0,0.946,0.956,0.903,0.766,0.926,0.925,0.933,0.946,0.932,0.96,0.9192999601364136,0.0,0.9716399908065796
54,54.0,0.923,0.953,0.884,0.857,0.93,0.882,0.943,0.934,0.961,0.953,0.921999990940094,0.0,0.9761199951171875
55,55.0,0.903,0.958,0.901,0.834,0.916,0.891,0.94,0.927,0.931,0.962,0.9162999987602234,0.0,0.9740999937057495
56,56.0,0.939,0.963,0.881,0.848,0.915,0.889,0.94,0.934,0.945,0.932,0.9185999631881714,0.0,0.973800003528595
57,57.0,0.905,0.938,0.886,0.873,0.921,0.857,0.93,0.944,0.951,0.945,0.9149999618530273,0.0,0.9720399975776672
58,58.0,0.933,0.959,0.902,0.888,0.929,0.842,0.931,0.921,0.936,0.953,0.9193999767303467,0.0,0.9772999882698059
59,59.0,0.925,0.961,0.892,0.875,0.947,0.859,0.956,0.937,0.952,0.961,0.9264999628067017,0.0,0.9860799908638
60,60.0,0.943,0.964,0.901,0.885,0.942,0.878,0.938,0.935,0.962,0.954,0.9301999807357788,0.0,0.9880200028419495
61,61.0,0.935,0.964,0.9,0.844,0.934,0.891,0.959,0.947,0.95,0.95,0.9273999929428101,0.0,0.9889799952507019
62,62.0,0.933,0.952,0.915,0.87,0.951,0.872,0.948,0.942,0.958,0.959,0.9299999475479126,0.0,0.9900799989700317
63,63.0,0.945,0.969,0.915,0.857,0.956,0.881,0.941,0.947,0.963,0.936,0.9309999942779541,0.0,0.9895399808883667
64,64.0,0.95,0.968,0.91,0.897,0.951,0.859,0.951,0.944,0.946,0.929,0.9304999709129333,0.0,0.9891199469566345
65,65.0,0.948,0.962,0.906,0.885,0.937,0.876,0.95,0.951,0.957,0.95,0.9321999549865723,0.0,0.9915799498558044
66,66.0,0.942,0.962,0.908,0.854,0.957,0.888,0.954,0.933,0.963,0.959,0.9319999814033508,0.0,0.9928199648857117
67,67.0,0.938,0.959,0.905,0.888,0.951,0.868,0.958,0.94,0.962,0.963,0.9332000017166138,0.0,0.9933199882507324
68,68.0,0.932,0.958,0.921,0.868,0.95,0.873,0.946,0.948,0.969,0.957,0.9321999549865723,0.0,0.9935199618339539
69,69.0,0.935,0.972,0.918,0.861,0.953,0.887,0.959,0.946,0.96,0.933,0.9323999881744385,0.0,0.9931599497795105
70,70.0,0.947,0.965,0.904,0.877,0.948,0.872,0.944,0.957,0.957,0.948,0.9318999648094177,0.0,0.9935599565505981
71,71.0,0.952,0.971,0.9,0.869,0.942,0.864,0.955,0.946,0.955,0.944,0.9297999739646912,0.0,0.9938799738883972
72,72.0,0.939,0.966,0.901,0.872,0.949,0.881,0.953,0.95,0.955,0.945,0.9310999512672424,0.0,0.9929999709129333
73,73.0,0.948,0.955,0.9,0.867,0.949,0.884,0.954,0.944,0.962,0.947,0.9309999942779541,0.0,0.9939199686050415
74,74.0,0.937,0.959,0.91,0.857,0.95,0.859,0.951,0.951,0.96,0.951,0.9284999966621399,0.0,0.9943599700927734
75,75.0,0.925,0.959,0.922,0.876,0.942,0.88,0.943,0.957,0.96,0.946,0.9309999942779541,0.0,0.9945999979972839
76,76.0,0.948,0.971,0.903,0.855,0.948,0.887,0.949,0.957,0.963,0.94,0.9320999979972839,0.0,0.9948399662971497
77,77.0,0.945,0.959,0.9,0.859,0.951,0.887,0.946,0.944,0.956,0.951,0.9297999739646912,0.0,0.9949999451637268
78,78.0,0.94,0.964,0.918,0.884,0.947,0.869,0.948,0.946,0.964,0.943,0.9322999715805054,0.0,0.9951799511909485
79,79.0,0.939,0.967,0.911,0.853,0.949,0.888,0.955,0.953,0.962,0.954,0.9330999851226807,0.0,0.9957000017166138
80,80.0,0.954,0.963,0.914,0.87,0.939,0.876,0.948,0.949,0.957,0.95,0.9319999814033508,0.0,0.9948999881744385
