,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
46,46.0,0.92,0.959,0.869,0.769,0.925,0.85,0.937,0.946,0.949,0.948,0.9071999788284302,0.0,1.0
47,47.0,0.931,0.961,0.841,0.796,0.93,0.852,0.933,0.945,0.95,0.945,0.9083999991416931,0.0,0.9999799728393555
48,48.0,0.936,0.962,0.863,0.791,0.917,0.848,0.933,0.947,0.941,0.947,0.9084999561309814,0.0,1.0
49,49.0,0.927,0.955,0.859,0.82,0.923,0.819,0.948,0.944,0.954,0.943,0.9091999530792236,0.0,1.0
50,50.0,0.92,0.959,0.892,0.779,0.906,0.837,0.945,0.955,0.944,0.944,0.9080999493598938,0.0,1.0
51,51.0,0.932,0.952,0.874,0.803,0.92,0.839,0.934,0.946,0.95,0.952,0.9101999998092651,0.0,1.0
52,52.0,0.93,0.956,0.871,0.781,0.919,0.862,0.938,0.944,0.945,0.954,0.9099999666213989,0.0,1.0
53,53.0,0.925,0.956,0.858,0.796,0.922,0.847,0.947,0.942,0.955,0.939,0.9086999893188477,0.0,1.0
54,54.0,0.933,0.956,0.863,0.809,0.922,0.836,0.945,0.939,0.957,0.942,0.9101999998092651,0.0,1.0
55,55.0,0.936,0.957,0.867,0.81,0.923,0.836,0.939,0.945,0.947,0.945,0.9104999899864197,0.0,1.0
56,56.0,0.933,0.958,0.868,0.812,0.913,0.847,0.939,0.941,0.948,0.951,0.9109999537467957,0.0,1.0
57,57.0,0.927,0.959,0.866,0.821,0.91,0.836,0.94,0.952,0.949,0.947,0.9106999635696411,0.0,1.0
58,58.0,0.938,0.96,0.874,0.79,0.918,0.849,0.941,0.946,0.945,0.945,0.9106000065803528,0.0,1.0
59,59.0,0.916,0.956,0.877,0.803,0.92,0.842,0.948,0.934,0.955,0.952,0.9102999567985535,0.0,1.0
60,60.0,0.931,0.958,0.871,0.805,0.922,0.843,0.937,0.945,0.955,0.946,0.911300003528595,0.0,1.0
61,61.0,0.931,0.956,0.867,0.813,0.915,0.849,0.938,0.944,0.948,0.957,0.911799967288971,0.0,1.0
62,62.0,0.93,0.957,0.849,0.799,0.923,0.847,0.942,0.943,0.951,0.953,0.9093999862670898,0.0,1.0
63,63.0,0.923,0.961,0.873,0.797,0.917,0.848,0.938,0.947,0.958,0.943,0.9104999899864197,0.0,1.0
64,64.0,0.927,0.958,0.841,0.803,0.927,0.844,0.943,0.949,0.945,0.956,0.9092999696731567,0.0,1.0
65,65.0,0.926,0.958,0.857,0.791,0.923,0.844,0.943,0.951,0.953,0.948,0.9093999862670898,0.0,1.0
66,66.0,0.915,0.957,0.849,0.781,0.924,0.858,0.947,0.948,0.955,0.952,0.9085999727249146,0.0,1.0
67,67.0,0.923,0.96,0.864,0.791,0.911,0.87,0.938,0.94,0.961,0.944,0.9101999998092651,0.0,1.0
68,68.0,0.922,0.955,0.875,0.816,0.916,0.84,0.94,0.939,0.948,0.955,0.9106000065803528,0.0,1.0
69,69.0,0.924,0.959,0.871,0.806,0.912,0.845,0.947,0.947,0.951,0.945,0.9106999635696411,0.0,1.0
70,70.0,0.92,0.954,0.866,0.81,0.919,0.839,0.942,0.94,0.951,0.955,0.9095999598503113,0.0,1.0
71,71.0,0.922,0.954,0.872,0.807,0.922,0.844,0.936,0.942,0.959,0.952,0.9109999537467957,0.0,1.0
72,72.0,0.933,0.959,0.873,0.814,0.916,0.839,0.94,0.938,0.945,0.948,0.9104999899864197,0.0,1.0
73,73.0,0.926,0.954,0.866,0.798,0.912,0.858,0.941,0.946,0.956,0.948,0.9104999899864197,0.0,1.0
74,74.0,0.925,0.96,0.869,0.806,0.905,0.846,0.939,0.941,0.965,0.945,0.910099983215332,0.0,1.0
75,75.0,0.918,0.958,0.869,0.792,0.916,0.859,0.943,0.935,0.943,0.954,0.9086999893188477,0.0,1.0
76,76.0,0.928,0.956,0.876,0.804,0.919,0.847,0.943,0.938,0.95,0.945,0.9106000065803528,0.0,1.0
77,77.0,0.93,0.957,0.874,0.813,0.916,0.84,0.942,0.941,0.954,0.949,0.9115999937057495,0.0,1.0
78,78.0,0.913,0.955,0.879,0.79,0.92,0.849,0.944,0.94,0.953,0.953,0.9095999598503113,0.0,1.0
79,79.0,0.935,0.955,0.853,0.798,0.922,0.849,0.941,0.944,0.955,0.948,0.9099999666213989,0.0,1.0
80,80.0,0.917,0.955,0.865,0.819,0.919,0.842,0.943,0.94,0.952,0.95,0.9101999998092651,0.0,1.0
81,81.0,0.923,0.959,0.858,0.801,0.917,0.85,0.946,0.945,0.953,0.948,0.9099999666213989,0.0,1.0
82,82.0,0.922,0.962,0.874,0.802,0.926,0.86,0.94,0.938,0.952,0.936,0.9111999869346619,0.0,1.0
83,83.0,0.92,0.959,0.859,0.811,0.922,0.844,0.944,0.937,0.956,0.948,0.9099999666213989,0.0,1.0
84,84.0,0.93,0.96,0.867,0.799,0.913,0.847,0.934,0.948,0.951,0.951,0.9099999666213989,0.0,1.0
85,85.0,0.932,0.957,0.863,0.807,0.91,0.828,0.95,0.948,0.951,0.95,0.9095999598503113,0.0,1.0
86,86.0,0.927,0.959,0.863,0.809,0.919,0.842,0.937,0.939,0.947,0.948,0.9089999794960022,0.0,1.0
87,87.0,0.924,0.958,0.85,0.807,0.919,0.844,0.945,0.941,0.96,0.943,0.9090999960899353,0.0,1.0
88,88.0,0.933,0.958,0.842,0.781,0.917,0.859,0.949,0.944,0.953,0.952,0.9088000059127808,0.0,1.0
