,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.001,0.0,0.028,0.0,0.001,0.0,0.854,0.0,0.285,0.0,0.1168999969959259,0.0,0.11569999903440475
1,1.0,0.013,0.278,0.979,0.064,0.001,0.263,0.396,0.0,0.933,0.0,0.29269999265670776,0.0,0.27863332629203796
2,2.0,0.562,0.962,0.75,0.829,0.203,0.253,0.763,0.0,0.965,0.356,0.564300000667572,0.0,0.5679833292961121
3,3.0,0.844,0.972,0.856,0.48,0.519,0.816,0.792,0.972,0.922,0.895,0.8068000078201294,0.0,0.7887833714485168
4,4.0,0.006,0.001,0.741,0.004,0.06,0.0,0.918,0.0,0.776,0.114,0.2619999945163727,0.0,0.25725001096725464
5,5.0,0.725,0.99,0.74,0.852,0.825,0.857,0.805,0.923,0.969,0.978,0.8664000034332275,0.0,0.8592333197593689
6,6.0,0.429,0.036,0.951,0.009,0.589,0.0,0.499,0.933,0.172,0.364,0.39819997549057007,0.0,0.38930001854896545
7,7.0,0.824,0.977,0.873,0.861,0.744,0.882,0.76,0.991,0.954,0.913,0.8779000043869019,0.0,0.8811166882514954
8,8.0,0.949,0.965,0.849,0.834,0.47,0.892,0.706,0.998,0.973,0.814,0.8449999690055847,0.0,0.8580166697502136
9,9.0,0.0,0.001,0.093,0.0,0.031,0.0,0.933,0.0,0.83,0.015,0.19029998779296875,0.0,0.18861666321754456
10,10.0,0.753,0.97,0.838,0.792,0.893,0.172,0.67,0.907,0.729,0.791,0.7515000104904175,0.0,0.7712833285331726
11,11.0,0.784,0.946,0.36,0.936,0.796,0.997,0.795,0.736,0.963,0.929,0.8241999745368958,0.0,0.8430166840553284
12,12.0,0.463,0.748,0.758,0.336,0.722,0.036,0.845,0.998,0.847,0.72,0.6473000049591064,0.0,0.6659500002861023
13,13.0,0.86,0.808,0.857,0.185,0.462,0.06,0.794,0.712,0.919,0.917,0.6574000120162964,0.0,0.6462500095367432
14,14.0,0.634,0.989,0.662,0.762,0.874,0.905,0.873,0.86,0.977,0.979,0.8514999747276306,0.0,0.867816686630249
15,15.0,0.866,0.979,0.821,0.925,0.947,0.991,0.604,0.804,0.993,0.952,0.8881999850273132,0.0,0.8981833457946777
16,16.0,0.773,0.991,0.437,0.924,0.69,0.996,0.833,0.752,0.939,0.983,0.8317999839782715,0.0,0.8439000248908997
