,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.2223710312275147,0.7544942972446835,0.9392180992925612,0.8474352087860454,0.8962455139289731,0.6984621943556869,1.6486538518100797,1.2092001494775533,0.8738258095247402,0.9100938443521622
2,2.0,1.5415226038023642,0.5937901123623257,0.9097706887728327,1.062478052445279,0.7458510465251401,0.878625930083978,0.8751184460084376,1.5256755543278344,0.7198378013506505,1.1473297643211573
3,3.0,1.301138684758743,0.844570661005522,0.7570997927868734,0.914760002098918,0.9017419609036563,0.8201564144654108,1.6248353037397991,1.170276203637103,0.6138977631464061,1.051523213457568
4,4.0,1.1654594425665137,1.2017538689805105,0.7393001481024211,0.7609269234328171,0.820054383628755,1.2908256433474947,1.5643160722063727,0.808788400692544,0.5410638674010011,1.1075112496415702
5,5.0,0.943396886243272,1.4083213425798757,0.7529411496841739,0.9463890448003671,0.8695597684247308,1.6041036461015044,0.7671280502739511,0.8157873634039974,0.5352070797411633,1.3571656687469646
6,6.0,0.8740886251044291,1.087730221949974,0.5958655805089008,0.9205903099868467,1.2348215840086463,2.0358793484842663,0.834652195356057,0.5966605978433551,0.5089698371210666,1.3107416996364576
7,7.0,0.7123086341145568,0.7868292741104868,0.4954836215824453,0.8942731741002222,1.5193095882097292,1.9819344863297812,0.9642442421081191,0.4954836215824453,0.4954836215824453,1.6546497362797692
8,8.0,0.6954999496125357,0.6926080621053209,0.5042443731264974,0.8813583282530892,1.6995706493086824,1.7186281079682602,1.2626453361278418,0.5737271560659436,0.5042443731264974,1.4674736643053332
9,9.0,0.8008823956584901,0.617007254204648,0.6385143778262595,0.799015848553769,1.9170588617697488,1.467572296218352,1.3007731720518172,0.6415606910360548,0.5059568627379522,1.3116582399429093
10,10.0,0.6727222014790921,0.4862222390412925,0.5878249583212053,0.9049072642645736,1.8590715362580446,1.7557472621473558,1.6226768936923202,0.5128698663822178,0.48270934643732927,1.1152484319765688
11,11.0,0.788235891482847,0.5050099966695729,0.9747952789993014,0.8431380736862959,1.8509680776091255,1.4645179662791035,1.618838290574875,0.5050099966695729,0.5050099966695729,0.9444764313597341
12,12.0,0.8023377411840535,0.4894664434729597,0.9495229701995587,0.8324415225656535,1.8369520384076778,1.3261213431194412,1.9578657738918388,0.4894664434729597,0.4894664434729597,0.8263592802128967
13,13.0,0.8211064677506509,0.5052937680289127,0.8645849171941032,0.8954437883492009,2.0211750721156507,1.1557099960244743,2.0211750721156507,0.5080631304291536,0.5052937680289127,0.7021540199632894
14,14.0,0.8963102652839111,0.5076065030000623,0.9019418440572837,0.9107665715789295,2.030426012000249,1.052865386173809,2.030426012000249,0.5076065030000623,0.5076065030000623,0.6544443999053803
15,15.0,1.0882879334499347,0.5201314223373852,0.5954343362177444,1.2430968901667214,1.5669849646910865,1.50168797556055,1.374128943900263,0.7239924418464045,0.5201314223373852,0.8661236694925253
16,16.0,1.4038320451937099,0.4925880353928735,0.8075925787453955,1.139822261383755,1.5407253048787373,1.4676899568565618,1.2869219511327596,0.5925177718680661,0.4925880353928735,0.7757220591552673
17,17.0,1.4534233612172893,0.4917018557234383,0.8056158939227883,1.0622844307926307,1.5687869166177857,1.2779268037022324,1.4581025824718694,0.6908551932444399,0.4917018557234383,0.699601106584086
18,18.0,1.4817284931897863,0.48618913498045013,0.8189813662175663,1.1185605555509972,1.5448450035774708,1.1360151707747794,1.6538241131897882,0.6373917775210856,0.48618913498045013,0.6362752500176249
19,19.0,1.5044212823971046,0.48186339452226323,0.8253110279730224,1.087166707285709,1.6951805220435734,1.0096048283839467,1.7602501057761388,0.5602688861720637,0.48186339452226323,0.5940698509239158
20,20.0,1.4865216649984638,0.47835931769872175,0.7936355063186922,0.9977747507322173,1.8854249152854061,0.9674640350636466,1.885739178959199,0.4816803882916264,0.47835931769872175,0.5450409249533046
21,21.0,1.3490345647784003,0.48174137975374165,0.7745182506634981,0.8563202914390999,1.7316998118237579,1.4099297781235522,1.9269655190149666,0.48174137975374165,0.48174137975374165,0.5063076448955007
22,22.0,1.3945817726848582,0.4951429859136732,0.7842908421898148,0.8572102131805571,1.6994570924761319,1.3033161921592513,1.9805719436546927,0.4951429859136732,0.4951429859136732,0.4951429859136732
23,23.0,1.4617761331303238,0.4941252960554104,0.8019163097572902,0.8640012119628826,1.7189262731820172,1.2003777035242025,1.9765011842216416,0.4941252960554104,0.4941252960554104,0.4941252960554104
24,24.0,1.4117002984054479,0.48052002028427365,0.7820981320524116,0.83732878663994,1.699797523562506,1.4249150970655056,1.9220800811370946,0.48052002028427365,0.48052002028427365,0.48052002028427365
25,25.0,1.3346182493335752,0.47377767985279834,0.7698255930650426,0.7595558903828804,1.584115550000375,1.8951107194111934,1.7616632783957404,0.47377767985279834,0.47377767985279834,0.47377767985279834
26,26.0,1.3286235674820723,0.4841472864008709,0.8318583600055115,0.7364922945966119,1.5450008155839963,1.6999669276719107,1.9214688890564118,0.4841472864008709,0.4841472864008709,0.4841472864008709
27,27.0,1.406395418697922,0.4909152458883045,0.8972926069791761,0.7378829955811185,1.4966724352559464,1.5344345763794003,1.963660983553218,0.4909152458883045,0.4909152458883045,0.4909152458883045
28,28.0,1.4356247300548863,0.49175326103599565,0.9342886750177806,0.749961635141143,1.5323682022291818,1.4137306692690432,1.9670130441439826,0.49175326103599565,0.49175326103599565,0.49175326103599565
29,29.0,1.4958501569019664,0.49007271677117503,0.9658868903731226,0.7509081377325935,1.5600881440542578,1.3066849367686602,1.9602908670847001,0.49007271677117503,0.49007271677117503,0.49007271677117503
30,30.0,1.5767935387350467,0.4884566328953512,1.0892508046857872,0.7414803479483767,1.5676969883603589,1.1754981490157355,1.8954536396732888,0.4884566328953512,0.4884566328953512,0.4884566328953512
31,31.0,1.626555621590085,0.48431742602446587,1.078849011134715,0.74005162141415,1.6177111400453859,1.0622931976199366,1.9372697040978635,0.48431742602446587,0.48431742602446587,0.48431742602446587
32,32.0,1.64724189772382,0.4839368208505501,1.073079327078471,0.7552314494099157,1.6822798421555618,0.9706729168278294,1.9357472834022005,0.4839368208505501,0.4839368208505501,0.4839368208505501
33,33.0,1.641327674487,0.49252861127597114,1.0720816411755765,0.7675938490798191,1.6692700173315538,0.9094979277182812,1.9701144451038846,0.49252861127597114,0.49252861127597114,0.49252861127597114
34,34.0,1.62098756247291,0.4928518616352068,1.0733654386943057,0.7645526174433073,1.7505263489385212,0.8477531393693007,1.9714074465408271,0.4928518616352068,0.4928518616352068,0.4928518616352068
35,35.0,1.6295010074916203,0.49324053909508186,1.121541318570481,0.769978390288432,1.735544935254585,0.7975100356342245,1.9729621563803275,0.49324053909508186,0.49324053909508186,0.49324053909508186
36,36.0,1.6547722759844543,0.4910405851573343,1.1598145798627546,0.7903047896595459,1.7177999020503505,0.7489837711842209,1.9641623406293371,0.4910405851573343,0.4910405851573343,0.4910405851573343
37,37.0,1.6753596551906218,0.4929100058853281,1.1672197131766495,0.8210766559215257,1.6900230005557373,0.7030409280728405,1.9716400235413123,0.4929100058853281,0.4929100058853281,0.4929100058853281
38,38.0,1.6951023650373263,0.4925688249746075,1.1968261887637104,0.8378438475476139,1.6663307857755578,0.6633462130789313,1.97027529989843,0.4925688249746075,0.4925688249746075,0.4925688249746075
39,39.0,1.7026008595345392,0.49072607513316846,1.2194749674873067,0.8621353511959755,1.6709148255938113,0.6190653951230195,1.9629043005326738,0.49072607513316846,0.49072607513316846,0.49072607513316846
40,40.0,1.7629675451726448,0.4881173496106747,1.2432910130856019,0.8529950746836124,1.6573381168942183,0.5784694532785261,1.9524693984426988,0.4881173496106747,0.4881173496106747,0.4881173496106747
41,41.0,1.7740442814778723,0.4900921503385101,1.2787187378768896,0.8450116863533899,1.6322772437191555,0.5492108478646126,1.9603686013540405,0.4900921503385101,0.4900921503385101,0.4900921503385101
42,42.0,1.7885039706882555,0.49181128294793625,1.2878526841272662,0.8570258762665911,1.6138034378786,0.518323767455799,1.967245131791745,0.49181128294793625,0.49181128294793625,0.49181128294793625
43,43.0,1.8064839190747726,0.4914108821484981,1.3014501145102773,0.850624667212909,1.614884300294968,0.49526994171908856,1.9656435285939924,0.4914108821484981,0.4914108821484981,0.4914108821484981
44,44.0,1.8017516922630739,0.49494431137385736,1.3084668387037741,0.8406549578142781,1.5946277088541576,0.49494431137385736,1.9797772454954294,0.49494431137385736,0.49494431137385736,0.49494431137385736
45,45.0,1.8160152762490578,0.49086717177476447,1.3118103168110187,0.8401383980286781,1.6142314629383654,0.49086717177476447,1.9634686870990579,0.49086717177476447,0.49086717177476447,0.49086717177476447
46,46.0,1.8144237796201308,0.4910581143684104,1.3172304030265043,0.8384233966602017,1.6103993913774697,0.4910581143684104,1.9642324574736416,0.4910581143684104,0.4910581143684104,0.4910581143684104
47,47.0,1.8338682028033046,0.4901868520078341,1.331568521674759,0.8454334493524724,1.577448158098958,0.4901868520078341,1.9607474080313363,0.4901868520078341,0.4901868520078341,0.4901868520078341
48,48.0,1.8278463080595244,0.4908425784251791,1.3513018645811856,0.8471634675229387,1.5561051540097393,0.4908425784251791,1.9633703137007164,0.4908425784251791,0.4908425784251791,0.4908425784251791
49,49.0,1.8350637839161859,0.491380575120564,1.3695871163490563,0.8563403076859123,1.5165836159637684,0.491380575120564,1.965522300482256,0.491380575120564,0.491380575120564,0.491380575120564
