,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,train_acc
0,0.0,0.6926666666666667,0.431,0.5275,0.07716666666666666,0.2195,0.020666666666666667,0.22166666666666668,0.0008333333333333334,0.7123333333333334,0.0015,0.2904833257198334
1,1.0,0.9193333333333333,0.886,0.28983333333333333,0.5365,0.3473333333333333,0.2375,0.43666666666666665,0.00016666666666666666,0.8783333333333333,0.057833333333333334,0.458950012922287
2,2.0,0.12283333333333334,0.6246666666666667,0.7593333333333333,0.05533333333333333,0.36816666666666664,0.001,0.6386666666666667,0.04883333333333333,0.0095,0.13066666666666665,0.2759000062942505
3,3.0,0.0935,0.7315,0.7083333333333334,0.00016666666666666666,0.14933333333333335,0.0,0.6505,0.00016666666666666666,0.8628333333333333,0.0,0.3196333348751068
4,4.0,0.8435,0.982,0.7951666666666667,0.5316666666666666,0.7125,0.937,0.4493333333333333,0.9361666666666667,0.9663333333333334,0.9178333333333333,0.8071500062942505
5,5.0,0.684,0.989,0.9156666666666666,0.7028333333333333,0.23966666666666667,0.0965,0.4235,0.8275,0.883,0.5241666666666667,0.6285833120346069
6,6.0,0.011333333333333334,0.4045,0.24433333333333335,0.0225,0.0325,0.0,0.9696666666666667,0.0,0.4695,0.18916666666666668,0.23434999585151672
7,7.0,0.9238333333333333,0.9503333333333334,0.8108333333333333,0.8018333333333333,0.29783333333333334,0.9846666666666667,0.211,0.6375,0.8931666666666667,0.8528333333333333,0.736383318901062
8,8.0,0.0325,0.9175,0.8893333333333333,0.0,0.0,0.0,0.6501666666666667,0.0,0.8868333333333334,0.23533333333333334,0.36116665601730347
9,9.0,0.008333333333333333,0.8825,0.8708333333333333,0.004166666666666667,0.1865,0.0,0.6268333333333334,0.002,0.30916666666666665,0.026,0.29163333773612976
10,10.0,0.024333333333333332,0.066,0.6025,0.068,0.08416666666666667,0.0,0.9198333333333333,0.0,0.5585,0.017666666666666667,0.23409999907016754
11,11.0,0.21566666666666667,0.5043333333333333,0.8766666666666667,0.173,0.6081666666666666,0.0,0.547,0.0,0.7508333333333334,0.08083333333333333,0.375650018453598
12,12.0,0.5273333333333333,0.9231666666666667,0.9198333333333333,0.9743333333333334,0.635,0.9501666666666667,0.4796666666666667,0.9865,0.972,0.873,0.8241000175476074
13,13.0,0.9233333333333333,0.9843333333333333,0.9326666666666666,0.9105,0.5778333333333333,0.9671666666666666,0.6216666666666667,0.9621666666666666,0.987,0.965,0.8831666707992554
14,14.0,0.8406666666666667,0.9878333333333333,0.716,0.8906666666666667,0.8311666666666667,0.9766666666666667,0.791,0.8835,0.9721666666666666,0.9855,0.8875166773796082
15,15.0,0.9478333333333333,0.9863333333333333,0.9118333333333334,0.8661666666666666,0.8358333333333333,0.701,0.49533333333333335,0.978,0.9508333333333333,0.9575,0.8630666732788086
16,16.0,0.8715,0.9808333333333333,0.8923333333333333,0.9273333333333333,0.8266666666666667,0.98,0.6203333333333333,0.9783333333333334,0.9843333333333333,0.9355,0.8997166752815247
17,17.0,0.8066666666666666,0.9416666666666667,0.827,0.717,0.7678333333333334,0.12233333333333334,0.6805,0.479,0.6641666666666667,0.8201666666666667,0.6826333403587341
18,18.0,0.916,0.9713333333333334,0.8855,0.894,0.8175,0.33666666666666667,0.5493333333333333,0.9828333333333333,0.8716666666666667,0.8151666666666667,0.8040000200271606
19,19.0,0.838,0.9745,0.9355,0.9186666666666666,0.3501666666666667,0.7811666666666667,0.5478333333333333,0.9931666666666666,0.9236666666666666,0.8755,0.8138166666030884
20,20.0,0.6551666666666667,0.8783333333333333,0.6995,0.36666666666666664,0.379,0.0015,0.852,0.0375,0.7308333333333333,0.7345,0.5335000157356262
21,21.0,0.819,0.9783333333333334,0.9273333333333333,0.9031666666666667,0.703,0.8951666666666667,0.733,0.9943333333333333,0.993,0.8341666666666666,0.8780500292778015
22,22.0,0.8505,0.9905,0.9,0.9126666666666666,0.7615,0.9613333333333334,0.8306666666666667,0.9833333333333333,0.9886666666666667,0.948,0.9127166867256165
23,23.0,0.8425,0.968,0.9468333333333333,0.842,0.35783333333333334,0.9466666666666667,0.5438333333333333,0.9486666666666667,0.929,0.9176666666666666,0.8242999911308289
24,24.0,0.8413333333333334,0.9711666666666666,0.8483333333333334,0.9503333333333334,0.7696666666666667,0.9891666666666666,0.8191666666666667,0.8125,0.9915,0.9858333333333333,0.8978999853134155
25,25.0,0.918,0.988,0.8955,0.9405,0.8496666666666667,0.925,0.7186666666666667,0.9908333333333333,0.9805,0.931,0.9137666821479797
26,26.0,0.8468333333333333,0.9746666666666667,0.8638333333333333,0.9423333333333334,0.6881666666666667,0.9603333333333334,0.8536666666666667,0.9738333333333333,0.9896666666666667,0.9651666666666666,0.9058499932289124
27,27.0,0.8566666666666667,0.9908333333333333,0.912,0.9436666666666667,0.9146666666666666,0.9881666666666666,0.7963333333333333,0.9713333333333334,0.9926666666666667,0.9726666666666667,0.933899998664856
28,28.0,0.892,0.9893333333333333,0.9216666666666666,0.9395,0.7258333333333333,0.6786666666666666,0.749,0.9915,0.9758333333333333,0.9111666666666667,0.8774499893188477
29,29.0,0.9001666666666667,0.9946666666666667,0.9408333333333333,0.9365,0.8493333333333334,0.9848333333333333,0.7783333333333333,0.947,0.9915,0.982,0.9305166602134705
30,30.0,0.6201666666666666,0.9486666666666667,0.8176666666666667,0.9101666666666667,0.49183333333333334,0.24133333333333334,0.9001666666666667,0.9033333333333333,0.887,0.7636666666666667,0.7484000325202942
