,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,train_acc
0,0.0,0.319,0.0132,0.0002,0.5316,0.4088,0.3484,0.0,0.1334,0.2396,0.493,0.2487199902534485
1,1.0,0.469,0.4198,0.3172,0.7672,0.148,0.2356,0.1896,0.3192,0.5218,0.4724,0.3859799802303314
2,2.0,0.6182,0.5318,0.4512,0.2186,0.558,0.3982,0.668,0.6048,0.687,0.6086,0.5344399809837341
3,3.0,0.472,0.7546,0.3702,0.6892,0.418,0.3926,0.7494,0.1498,0.8544,0.5508,0.5400999784469604
4,4.0,0.5742,0.855,0.4742,0.6972,0.3886,0.2178,0.7056,0.5508,0.8666,0.5506,0.5880599617958069
5,5.0,0.7562,0.8002,0.5808,0.5756,0.4418,0.3936,0.7448,0.7264,0.6144,0.357,0.599079966545105
6,6.0,0.6284,0.7754,0.6782,0.4682,0.6338,0.2098,0.7192,0.7742,0.5394,0.5808,0.6007399559020996
7,7.0,0.5522,0.645,0.1392,0.154,0.62,0.387,0.5644,0.3226,0.8924,0.9302,0.5206999778747559
8,8.0,0.7666,0.9162,0.3464,0.1216,0.2698,0.888,0.7948,0.407,0.602,0.7042,0.5816599726676941
9,9.0,0.7996,0.9486,0.694,0.6314,0.8362,0.4304,0.7386,0.812,0.8664,0.6384,0.7395600080490112
10,10.0,0.6386,0.9044,0.5676,0.3712,0.606,0.6314,0.7172,0.7728,0.965,0.7804,0.6954599618911743
11,11.0,0.6914,0.8592,0.6434,0.408,0.6132,0.6528,0.9146,0.9398,0.7584,0.8568,0.7337599992752075
12,12.0,0.844,0.8434,0.7798,0.6712,0.742,0.519,0.6386,0.8846,0.4904,0.9262,0.7339199781417847
13,13.0,0.724,0.9544,0.7638,0.5256,0.6228,0.322,0.685,0.5102,0.7688,0.9138,0.6790399551391602
14,14.0,0.8458,0.9562,0.8104,0.4762,0.8204,0.7658,0.912,0.8776,0.9248,0.698,0.8087199926376343
15,15.0,0.833,0.9626,0.892,0.7164,0.8908,0.691,0.6788,0.7936,0.8608,0.9,0.821899950504303
16,16.0,0.8378,0.9236,0.8856,0.6172,0.8028,0.804,0.8442,0.85,0.9162,0.8928,0.8374199867248535
17,17.0,0.8186,0.9158,0.888,0.7562,0.7816,0.7212,0.6852,0.901,0.9164,0.8688,0.825279951095581
18,18.0,0.8704,0.903,0.829,0.6464,0.8968,0.638,0.9132,0.8216,0.9246,0.9104,0.8353399634361267
