,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,train_acc
19,19.0,0.8044,0.9116,0.734,0.833,0.6896,0.6184,0.8456,0.9352,0.864,0.959,0.8194800019264221
20,20.0,0.8724,0.9726,0.7958,0.7774,0.7358,0.7208,0.8942,0.8544,0.9358,0.788,0.8347199559211731
21,21.0,0.9234,0.9538,0.8446,0.8762,0.9138,0.702,0.922,0.8886,0.9218,0.9588,0.8904999494552612
22,22.0,0.9204,0.9498,0.8668,0.7344,0.9428,0.8412,0.9232,0.925,0.9482,0.9086,0.8960399627685547
23,23.0,0.9192,0.916,0.9016,0.8936,0.9202,0.7256,0.8154,0.9066,0.941,0.9526,0.8891800045967102
24,24.0,0.9224,0.9698,0.7874,0.7156,0.9114,0.8922,0.954,0.9118,0.9598,0.9356,0.8959999680519104
25,25.0,0.8314,0.9694,0.8116,0.6036,0.887,0.821,0.9794,0.949,0.9756,0.9172,0.8745200037956238
26,26.0,0.9122,0.9444,0.7842,0.7402,0.921,0.901,0.8842,0.8824,0.9402,0.9584,0.8868199586868286
27,27.0,0.8742,0.9618,0.8714,0.751,0.8464,0.8592,0.9454,0.931,0.9104,0.9666,0.8917399644851685
28,28.0,0.9626,0.9754,0.9098,0.7942,0.9496,0.8942,0.9718,0.964,0.975,0.964,0.9360599517822266
29,29.0,0.9358,0.9654,0.9084,0.8894,0.9528,0.8544,0.9724,0.9646,0.9864,0.9604,0.9389999508857727
30,30.0,0.9662,0.9616,0.8942,0.8544,0.933,0.928,0.9438,0.9736,0.973,0.9756,0.940339982509613
31,31.0,0.931,0.974,0.9312,0.8814,0.9412,0.8606,0.9722,0.9448,0.9788,0.9732,0.9388399720191956
32,32.0,0.9564,0.9238,0.9576,0.8952,0.9198,0.8804,0.9496,0.9672,0.975,0.9762,0.9401199817657471
33,33.0,0.9666,0.9682,0.9,0.8792,0.927,0.9224,0.9448,0.97,0.9592,0.9782,0.9415599703788757
34,34.0,0.9268,0.9288,0.95,0.8798,0.9524,0.8702,0.9472,0.9736,0.9896,0.9648,0.938319981098175
35,35.0,0.9694,0.9744,0.9646,0.93,0.9636,0.9372,0.9868,0.9724,0.9852,0.9818,0.9665399789810181
36,36.0,0.9818,0.9878,0.955,0.928,0.9558,0.9518,0.9838,0.9836,0.9826,0.9844,0.9694599509239197
37,37.0,0.9792,0.9834,0.9284,0.9488,0.9812,0.9226,0.984,0.9812,0.9906,0.9802,0.967960000038147
38,38.0,0.9844,0.981,0.9568,0.9388,0.97,0.9642,0.9724,0.979,0.9816,0.9846,0.9712799787521362
39,39.0,0.9616,0.9876,0.9572,0.9658,0.9782,0.9226,0.9712,0.9774,0.9806,0.9874,0.9689599871635437
40,40.0,0.9746,0.9858,0.9558,0.9418,0.971,0.9412,0.9834,0.9892,0.9936,0.978,0.9714399576187134
41,41.0,0.9684,0.9848,0.9508,0.7648,0.9808,0.985,0.9914,0.9778,0.9784,0.9878,0.9569999575614929
42,42.0,0.9734,0.9902,0.9632,0.9486,0.9682,0.9732,0.9826,0.961,0.9804,0.9904,0.9731199741363525
43,43.0,0.9882,0.9924,0.99,0.9676,0.977,0.9694,0.9876,0.9876,0.9942,0.9906,0.9844599962234497
44,44.0,0.987,0.9958,0.9792,0.9626,0.9916,0.9764,0.9962,0.9896,0.993,0.9858,0.9857199788093567
45,45.0,0.99,0.995,0.99,0.9828,0.9886,0.947,0.9904,0.9908,0.9974,0.986,0.9857999682426453
46,46.0,0.992,0.9926,0.9838,0.965,0.9918,0.977,0.9948,0.9938,0.9932,0.9952,0.9879199862480164
47,47.0,0.9924,0.994,0.9858,0.9818,0.9914,0.9752,0.9936,0.9926,0.9942,0.991,0.9891999959945679
48,48.0,0.988,0.9948,0.9854,0.9822,0.9872,0.9844,0.985,0.99,0.9958,0.9942,0.9886999726295471
49,49.0,0.9946,0.9942,0.9874,0.9846,0.9934,0.9774,0.995,0.996,0.9966,0.9926,0.9911800026893616
50,50.0,0.995,0.995,0.9926,0.983,0.9908,0.989,0.9946,0.9946,0.9944,0.9934,0.9922399520874023
51,51.0,0.995,0.9948,0.9908,0.9924,0.991,0.975,0.9936,0.995,0.9958,0.9946,0.9917999505996704
52,52.0,0.9964,0.9946,0.9918,0.9896,0.9928,0.9784,0.995,0.9958,0.9962,0.9948,0.9925400018692017
53,53.0,0.9946,0.994,0.9918,0.9882,0.9946,0.9876,0.9948,0.9928,0.9964,0.995,0.9929800033569336
54,54.0,0.9938,0.9966,0.9936,0.9912,0.9946,0.9812,0.9954,0.9948,0.9992,0.9908,0.9931199550628662
55,55.0,0.998,0.9956,0.9924,0.9884,0.9954,0.9858,0.9936,0.9966,0.997,0.9958,0.9938599467277527
56,56.0,0.9962,0.9972,0.9936,0.9908,0.9926,0.9884,0.9974,0.9938,0.996,0.9962,0.994219958782196
57,57.0,0.994,0.997,0.994,0.9876,0.9932,0.9898,0.9954,0.9968,0.998,0.9968,0.9942599534988403
58,58.0,0.9956,0.9956,0.9946,0.992,0.9934,0.9866,0.9966,0.9934,0.998,0.9956,0.9941399693489075
59,59.0,0.993,0.9948,0.9954,0.9924,0.9952,0.9852,0.9988,0.9962,0.9962,0.9958,0.9942999482154846
60,60.0,0.9968,0.9974,0.9934,0.9926,0.9952,0.9828,0.9968,0.9984,0.9978,0.9964,0.9947599768638611
61,61.0,0.9972,0.9942,0.994,0.9828,0.9942,0.9934,0.997,0.9962,0.9968,0.9966,0.9942399859428406
62,62.0,0.9968,0.9968,0.9942,0.9918,0.9964,0.99,0.9966,0.9978,0.9958,0.9974,0.9953599572181702
63,63.0,0.9984,0.9972,0.9964,0.9736,0.9866,0.9956,0.9966,0.9962,0.9982,0.9948,0.9933599829673767
64,64.0,0.9974,0.9956,0.9944,0.9916,0.9952,0.9854,0.9974,0.9952,0.9968,0.9972,0.9946199655532837
65,65.0,0.9968,0.9992,0.9948,0.9882,0.9922,0.99,0.998,0.9952,0.9966,0.995,0.9945999979972839
66,66.0,0.9952,0.996,0.9914,0.9958,0.9962,0.984,0.9966,0.9936,0.997,0.998,0.994379997253418
67,67.0,0.9972,0.9944,0.9924,0.9902,0.9942,0.9876,0.9982,0.9956,0.997,0.997,0.994379997253418
68,68.0,0.9962,0.9982,0.9966,0.9896,0.9964,0.9948,0.9956,0.9962,0.9952,0.9978,0.9956599473953247
69,69.0,0.998,0.9982,0.9948,0.992,0.9944,0.9924,0.9976,0.9978,0.9974,0.9954,0.9957999587059021
70,70.0,0.9952,0.9976,0.9948,0.991,0.9954,0.9938,0.9966,0.9942,0.9968,0.9962,0.9951599836349487
71,71.0,0.996,0.9978,0.9964,0.9946,0.9968,0.9864,0.9968,0.9968,0.9974,0.996,0.9954999685287476
72,72.0,0.9958,0.998,0.9958,0.9888,0.9976,0.996,0.9968,0.9972,0.9978,0.997,0.9960799813270569
73,73.0,0.9962,0.9968,0.994,0.9916,0.9958,0.994,0.9954,0.9974,0.9992,0.9978,0.9958199858665466
74,74.0,0.997,0.998,0.996,0.994,0.9952,0.9924,0.9982,0.9982,0.9984,0.9968,0.9964199662208557
75,75.0,0.9982,0.9984,0.9952,0.9924,0.9946,0.993,0.9932,0.9956,0.9982,0.9972,0.9955999851226807
76,76.0,0.997,0.9968,0.9944,0.9944,0.9904,0.9936,0.9984,0.995,0.997,0.9968,0.9953799843788147
77,77.0,0.9968,0.9966,0.9942,0.9844,0.9962,0.9954,0.9982,0.9976,0.9984,0.9968,0.9954599738121033
78,78.0,0.9978,0.9972,0.9932,0.9898,0.9964,0.9976,0.998,0.995,0.9974,0.998,0.9960399866104126
79,79.0,0.998,0.9964,0.9936,0.9882,0.9958,0.9964,0.9986,0.9954,0.998,0.9988,0.9959200024604797
80,80.0,0.9968,0.9922,0.9972,0.9892,0.9968,0.9934,0.9988,0.9972,0.9972,0.9986,0.9957399964332581
81,81.0,0.9982,0.9952,0.9924,0.991,0.9956,0.9934,0.9988,0.9976,0.9978,0.9964,0.995639979839325
82,82.0,0.9968,0.9974,0.996,0.9906,0.9968,0.993,0.998,0.994,0.9976,0.9968,0.9957000017166138
83,83.0,0.9976,0.9978,0.994,0.9948,0.996,0.9946,0.994,0.998,0.9968,0.9984,0.9961999654769897
84,84.0,0.9972,0.9966,0.996,0.992,0.9964,0.9956,0.9978,0.999,0.9974,0.998,0.9965999722480774
85,85.0,0.9984,0.999,0.9972,0.9912,0.9978,0.9962,0.9994,0.9938,0.9966,0.995,0.9964599609375
86,86.0,0.9978,0.9986,0.9978,0.9894,0.9966,0.9972,0.9974,0.9968,0.9978,0.998,0.9967399835586548
87,87.0,0.9952,0.9974,0.9956,0.9948,0.9946,0.994,0.9956,0.9984,0.999,0.997,0.9961599707603455
88,88.0,0.9988,0.9986,0.9956,0.9916,0.9968,0.9948,0.9962,0.9972,0.9992,0.9968,0.9965599775314331
89,89.0,0.9978,0.9988,0.997,0.9914,0.997,0.9974,0.9946,0.9966,0.9978,0.9996,0.9967999458312988
90,90.0,0.9976,0.9972,0.9976,0.9956,0.9962,0.992,0.9982,0.9964,0.9984,0.9968,0.9965999722480774
91,91.0,0.9966,0.9964,0.9972,0.9916,0.9954,0.9928,0.997,0.9966,0.9982,0.9974,0.9959200024604797
92,92.0,0.9972,0.999,0.9976,0.9972,0.9972,0.9876,0.9982,0.996,0.9956,0.9992,0.9964799880981445
93,93.0,0.9986,0.997,0.996,0.9918,0.9982,0.9966,0.997,0.9986,0.9964,0.9972,0.9967399835586548
94,94.0,0.9954,0.9978,0.9962,0.9904,0.995,0.9978,0.9954,0.9984,0.9982,0.9982,0.9962799549102783
95,95.0,0.9978,0.9966,0.996,0.9952,0.9974,0.9962,0.9966,0.9972,0.9974,0.9966,0.9966999888420105
96,96.0,0.997,0.9966,0.9962,0.9942,0.9978,0.9942,0.9954,0.9954,0.9994,0.9974,0.9963600039482117
97,97.0,0.997,0.9984,0.9964,0.9906,0.9986,0.9948,0.9982,0.9982,0.9982,0.999,0.9969399571418762
98,98.0,0.995,0.9992,0.997,0.995,0.9976,0.995,0.9976,0.9966,0.999,0.9974,0.9969399571418762
99,99.0,0.997,0.9986,0.9972,0.994,0.9974,0.9954,0.9986,0.9988,0.997,0.9964,0.9970399737358093
