,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
46,46.0,0.897,0.948,0.867,0.812,0.926,0.852,0.932,0.932,0.936,0.942,0.9043999910354614,0.0,1.0
47,47.0,0.904,0.955,0.878,0.82,0.923,0.844,0.921,0.928,0.934,0.938,0.9044999480247498,0.0,1.0
48,48.0,0.912,0.94,0.88,0.807,0.921,0.854,0.922,0.936,0.933,0.946,0.9050999879837036,0.0,1.0
49,49.0,0.9,0.946,0.864,0.819,0.915,0.836,0.933,0.931,0.943,0.943,0.902999997138977,0.0,1.0
50,50.0,0.868,0.954,0.905,0.809,0.916,0.837,0.937,0.936,0.94,0.937,0.9038999676704407,0.0,0.9999599456787109
51,51.0,0.898,0.948,0.877,0.821,0.914,0.844,0.922,0.936,0.946,0.944,0.9049999713897705,0.0,1.0
52,52.0,0.912,0.949,0.878,0.8,0.922,0.859,0.924,0.94,0.925,0.939,0.9047999978065491,0.0,1.0
53,53.0,0.897,0.948,0.872,0.811,0.922,0.856,0.935,0.941,0.943,0.943,0.9067999720573425,0.0,1.0
54,54.0,0.9,0.949,0.877,0.832,0.922,0.829,0.933,0.938,0.949,0.939,0.9067999720573425,0.0,1.0
55,55.0,0.908,0.949,0.871,0.829,0.923,0.842,0.931,0.942,0.934,0.937,0.9065999984741211,0.0,1.0
56,56.0,0.902,0.952,0.87,0.819,0.919,0.854,0.927,0.933,0.938,0.942,0.9055999517440796,0.0,1.0
57,57.0,0.899,0.954,0.862,0.829,0.917,0.852,0.927,0.945,0.94,0.942,0.9066999554634094,0.0,1.0
58,58.0,0.911,0.954,0.874,0.807,0.919,0.856,0.933,0.938,0.941,0.942,0.9074999690055847,0.0,1.0
59,59.0,0.894,0.941,0.869,0.825,0.918,0.839,0.932,0.93,0.948,0.951,0.904699981212616,0.0,1.0
60,60.0,0.908,0.95,0.873,0.82,0.924,0.846,0.924,0.942,0.942,0.94,0.9068999886512756,0.0,1.0
61,61.0,0.901,0.948,0.87,0.835,0.916,0.843,0.925,0.94,0.938,0.949,0.906499981880188,0.0,1.0
62,62.0,0.904,0.945,0.863,0.82,0.925,0.85,0.934,0.937,0.94,0.948,0.9065999984741211,0.0,1.0
63,63.0,0.895,0.955,0.872,0.821,0.916,0.853,0.93,0.94,0.948,0.936,0.9065999984741211,0.0,1.0
64,64.0,0.905,0.947,0.858,0.822,0.933,0.84,0.931,0.943,0.933,0.952,0.9063999652862549,0.0,1.0
65,65.0,0.902,0.951,0.869,0.819,0.916,0.844,0.936,0.944,0.944,0.942,0.9066999554634094,0.0,1.0
